# File Name: /shared/data/ui/current_run/Untitled_2023-12-01-135038_20231201_135140.eds
# Comment: 
# Operator: Dongjun H.
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778620070344
# Instrument Serial Number: 2778620070344
# Heated Cover Serial Number: 2779320060447
# Block Serial Number: 2778320050408
# Run Start Date/Time: 2023-12-01 01:51:55 PM PST
# Run End Date/Time: 2023-12-01 03:34:27 PM PST
# Run Duration: 102 minutes 32 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-01 03:35:35 PM PST
# Exported On: 2023-12-01 03:35:40 PM PST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","109","SCN5A","UNKNOWN","SYBR","None","Amp","2.657325024821825","","","27.923791065239648","0.9914454307636911","28.278870913634325","0.4772685659546655","true","14129.579076723134","true","3","20","84.25309753417969","","",""
"2","A2","false","109","SCN5A","UNKNOWN","SYBR","None","Amp","2.6300023027999617","","","28.821409481659828","0.9877723781894661","28.278870913634325","0.4772685659546655","true","14129.579076723134","true","3","24","84.25309753417969","","",""
"3","A3","false","109","SCN5A","UNKNOWN","SYBR","None","Amp","2.652267680274074","","","28.091412194003503","0.9917414295952007","28.278870913634325","0.4772685659546655","true","14129.579076723134","true","3","21","84.25309753417969","","",""
"4","A4","false","109","ATP2A2","UNKNOWN","SYBR","None","Amp","2.65876156623256","","","20.450836681834872","0.9936585388765506","20.14908672682626","0.28333195674305556","true","14388.314446304512","true","3","15","81.7001953125","","",""
"5","A5","false","109","ATP2A2","UNKNOWN","SYBR","None","Amp","2.7142412148676835","","","20.107697918316553","0.9889489769846387","20.14908672682626","0.28333195674305556","true","14388.314446304512","true","3","16","81.70003509521484","","",""
"6","A6","false","109","ATP2A2","UNKNOWN","SYBR","None","Amp","2.7209423895096423","","","19.888725580327353","0.9297456450739605","20.14908672682626","0.28333195674305556","true","14388.314446304512","true","3","16","81.70003509521484","","",""
"7","A7","false","109","MYH7","UNKNOWN","SYBR","None","Amp","2.322749666293539","","","29.359910969676463","0.9784536077274967","29.33292484577898","0.09952524864890505","true","11800.235948122277","true","3","24","84.89115905761719","78.78244018554688","88.08228302001953",""
"8","A8","false","109","MYH7","UNKNOWN","SYBR","None","Amp","2.3769869984265664","","","29.416174157978592","0.9533405579134079","29.33292484577898","0.09952524864890505","true","11800.235948122277","true","3","20","84.70880889892578","88.08228302001953","",""
"9","A9","false","109","MYH7","UNKNOWN","SYBR","None","Amp","2.355999385900349","","","29.222689409681898","0.9478838957343875","29.33292484577898","0.09952524864890505","true","11800.235948122277","true","3","20","84.78189086914062","88.06175231933594","",""
"10","A10","false","109","MYL2","UNKNOWN","SYBR","None","Amp","2.7311125323311853","","","31.527993320940915","0.9889127007455323","32.00884958864883","0.8117043501024639","true","14856.637297205674","true","3","25","84.4174575805664","","",""
