"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000227232",52.0908330646452,0.242608027906203,0.382577679218604,0.634140570881495,0.525989087667766,0.995223898895569,NA
"ENSG00000278267",2.29412106991501,-1.37440827567584,1.82509017794652,-0.753063214236484,0.451411928316305,NA,"MIR6859-1"
"ENSG00000238009",0.975973019776633,0.98128593041356,2.38894626497157,0.410760988977388,0.681247801070981,NA,NA
"ENSG00000233750",6.18290308898799,2.00470854619056,1.0322134542258,1.94214533629981,0.0521195084422012,0.563388512922105,"CICP27"
"ENSG00000268903",83.582615188611,0.0290256806282021,0.380620663985635,0.0762588145484859,0.93921319161811,0.998156025906557,NA
"ENSG00000269981",58.0468678808855,-0.326169958626941,0.462626491556403,-0.705039518012934,0.480785643729769,0.991959015170343,NA
"ENSG00000241860",5.80417902432329,0.671979256532162,0.970983366085311,0.692060523386063,0.48889932141313,0.993210530366429,NA
"ENSG00000279457",91.9166557276771,0.122361588474782,0.317113190842861,0.385860922876006,0.69959967262915,0.996963966487092,NA
"ENSG00000228463",2.42654394879093,-1.02556659327298,1.49892864286736,-0.684199743699025,0.493849044088616,NA,"RPL23AP21"
"ENSG00000236679",1.09410720629396,-2.42033142905137,2.49646093920712,-0.96950502651168,0.332293273516182,NA,"RPL23AP24"
"ENSG00000237094",46.9895520814286,-0.495970439104797,0.480617606264281,-1.03194396676362,0.30209836762362,0.953972974588548,NA
"ENSG00000250575",2.5733258034371,-0.0220415271517899,1.51762597649901,-0.014523688638117,0.988412180455513,NA,NA
"ENSG00000225972",2.19889626907265,0.651812843673675,1.5704390771383,0.415051340203165,0.678104319830287,NA,"MTND1P23"
"ENSG00000225630",155.697499811256,0.0723436255993834,0.382916587764278,0.188927896860707,0.850149328763974,0.996963966487092,"MTND2P28"
"ENSG00000237973",341.714975017022,0.507991034664372,0.336723305123975,1.50863045988854,0.131393245596875,0.785593147712805,"MTCO1P12"
"ENSG00000229344",16.4085277614829,0.526498173849144,0.618776729432934,0.850869382776632,0.394841914309994,0.981346237206716,"MTCO2P12"
"ENSG00000240409",5.16444975377733,-0.0131818057196655,1.03838236457747,-0.012694558545425,0.989871479769367,NA,"MTATP8P1"
"ENSG00000248527",5467.21633003708,0.0543066223909385,0.380413864994813,0.142756685252992,0.88648234677279,0.996963966487092,"MTATP6P1"
"ENSG00000198744",8.55690088714441,0.0245224632594352,0.908501943619231,0.0269921968044936,0.978465957813324,0.999280528424376,"MTCO3P12"
"ENSG00000228327",60.9954360831322,-0.286454055454213,0.407172819323113,-0.703519591338185,0.481732001912108,0.991959015170343,NA
"ENSG00000237491",11.953281178113,-0.356402498664981,0.928804870248878,-0.383721608360518,0.701184795275448,0.996963966487092,NA
