"","baseMean","log2FoldChange","lfcSE","pvalue","padj","hgnc_symbol"
"ENSG00000227232",52.0908330646452,0.0241181288264071,0.122404113903976,0.525989087667766,0.995223898895569,NA
"ENSG00000278267",2.29412106991501,-0.006291538085669,0.125640500561108,0.451411928316305,NA,"MIR6859-1"
"ENSG00000238009",0.975973019776633,0.00269942289486179,0.125549365869661,0.681247801070981,NA,NA
"ENSG00000233750",6.18290308898799,0.0295715369320861,0.130033192263928,0.0521195084422012,0.563388512922105,"CICP27"
"ENSG00000268903",83.582615188611,0.00294688378544739,0.119392931662767,0.93921319161811,0.998156025906557,NA
"ENSG00000269981",58.0468678808855,-0.0226365557155017,0.124085625468987,0.480785643729769,0.991959015170343,NA
"ENSG00000241860",5.80417902432329,0.0110963818639057,0.125369924017117,0.48889932141313,0.993210530366429,NA
"ENSG00000279457",91.9166557276771,0.0168493835711074,0.118209555559697,0.69959967262915,0.996963966487092,NA
"ENSG00000228463",2.42654394879093,-0.00707422778739632,0.125547411087796,0.493849044088616,NA,"RPL23AP21"
"ENSG00000236679",1.09410720629396,-0.00562075830877142,0.12574332274154,0.332293273516182,NA,"RPL23AP24"
"ENSG00000237094",46.9895520814286,-0.0324803231764383,0.127442984821831,0.30209836762362,0.953972974588548,NA
"ENSG00000250575",2.5733258034371,-0.00011318680408132,0.125249480425275,0.988412180455513,NA,NA
"ENSG00000225972",2.19889626907265,0.00414710469988129,0.12538305623388,0.678104319830287,NA,"MTND1P23"
"ENSG00000225630",155.697499811256,0.00718686168677657,0.119675970750281,0.850149328763974,0.996963966487092,"MTND2P28"
"ENSG00000237973",341.714975017022,0.0701823529163401,0.143381323210019,0.131393245596875,0.785593147712805,"MTCO1P12"
"ENSG00000229344",16.4085277614829,0.0210555852587079,0.125706279110421,0.394841914309994,0.981346237206716,"MTCO2P12"
"ENSG00000240409",5.16444975377733,-0.000149685222388237,0.124766323250284,0.989871479769367,NA,"MTATP8P1"
"ENSG00000248527",5467.21633003708,0.00526245620470465,0.11946967989694,0.88648234677279,0.996963966487092,"MTATP6P1"
"ENSG00000198744",8.55690088714441,0.000510936098673784,0.124493997502111,0.978465957813324,0.999280528424376,"MTCO3P12"
"ENSG00000228327",60.9954360831322,-0.0252628044150934,0.12345784425468,0.481732001912108,0.991959015170343,NA
"ENSG00000237491",11.953281178113,-0.006338277195112,0.124784632394435,0.701184795275448,0.996963966487092,NA
"ENSG00000230092",1.29721853615996,-0.00281494283579577,0.125476774475579,0.720238151682876,NA,NA
"ENSG00000228794",145.226369811406,0.0562379672240757,0.128112857463547,0.28273790398858,0.948918158564453,"LINC01128"
"ENSG00000225880",10.0338874612334,-0.0104887323326193,0.124700428881259,0.595668669505036,0.995223898895569,NA
"ENSG00000272438",3.79871111211613,-0.0130470478963358,0.126057920190749,0.301028794675885,NA,NA
"ENSG00000230699",7.78893300859965,-0.00175614663122515,0.124442840904914,0.918014820688775,0.997276264740844,NA
"ENSG00000223764",12.599886815248,-0.0264494642348027,0.128300575209414,0.174331558048607,0.855990180047619,"LINC02593"
