"","wi_i_psc_1","wi_i_psc_2","wi_i_psc_3","h11_i_psc_1","h11_i_psc_2","h11_i_psc_3","hgnc_symbol"
"ENSG00000227232",6.80264985642485,6.72127432649213,6.7554529456089,7.11421153979548,6.69253067171035,6.80677314085548,NA
"ENSG00000278267",5.18916229606352,5.44585014100165,5.89146862808021,5.58406876767317,5.18916229606352,5.43225849630727,"MIR6859-1"
"ENSG00000238009",5.40827875476777,5.18916229606352,5.43960949891239,5.51193606298776,5.18916229606352,5.53254796178784,NA
"ENSG00000233750",5.40827875476777,5.55169810502553,5.68819431414795,5.90504540691154,6.0731263431831,5.78116639722774,"CICP27"
"ENSG00000268903",6.73998350712046,7.45438378444231,7.29534769665205,7.18405601675136,7.41511524625464,6.9997734484373,NA
"ENSG00000269981",6.49604152367212,6.75668470165466,7.49354447567875,6.8522971914042,6.89809883044658,6.68031266652761,NA
"ENSG00000241860",5.62614418774403,5.63259774045074,5.79885359899228,5.86899050210992,5.65084094740345,5.9117377806544,NA
"ENSG00000279457",7.08396568468957,7.34004187772024,7.31657410087698,7.35640028787382,7.47226855619302,7.12103023190889,NA
"ENSG00000228463",5.40827875476777,5.63259774045074,5.74641216277812,5.58406876767317,5.42073917321374,5.43225849630727,"RPL23AP21"
"ENSG00000236679",5.18916229606352,5.55169810502553,5.62187073937371,5.18916229606352,5.42073917321374,5.18916229606352,"RPL23AP24"
"ENSG00000237094",6.7654604082894,6.36214716626085,7.28460265185647,6.80029837179389,6.4591605627582,6.57512646464102,NA
"ENSG00000250575",5.18916229606352,5.63259774045074,5.68819431414795,5.58406876767317,5.65084094740345,5.43225849630727,NA
"ENSG00000225972",5.4987433775035,5.55169810502553,5.43960949891239,5.41763530158468,5.42073917321374,5.78116639722774,"MTND1P23"
"ENSG00000225630",7.38391404446843,7.27318003737842,8.37674190360403,7.99316459488195,7.80339437135878,7.65346245259175,"MTND2P28"
"ENSG00000237973",8.29507670546969,7.91374866941812,8.95986799447457,9.27622344671151,8.61726571795466,8.64698282242924,"MTCO1P12"
"ENSG00000229344",5.80483067526391,6.16586277639016,6.14289656252462,6.14208700546006,6.29741961566898,6.20089319132591,"MTCO2P12"
"ENSG00000240409",5.62614418774403,5.55169810502553,5.93317541133141,5.78992687561757,5.65084094740345,5.73020902711406,"MTATP8P1"
"ENSG00000248527",11.5919733985644,11.5083049937035,13.3319431987967,12.5694850556677,12.4107556642788,12.3999334269685,"MTATP6P1"
"ENSG00000198744",5.62614418774403,5.63259774045074,6.20214247985267,6.03284988940785,5.75341346213997,5.82786673222306,"MTCO3P12"
"ENSG00000228327",7.00412994033871,6.64693836761786,7.31657410087698,7.07248702719246,6.66210707714297,6.82164779556436,NA
"ENSG00000237491",5.7233451268249,5.44585014100165,6.53591059888132,6.11613714367004,5.87807498735324,5.82786673222306,NA
"ENSG00000230092",5.56795900410903,5.44585014100165,5.43960949891239,5.41763530158468,5.18916229606352,5.53254796178784,NA
"ENSG00000228794",7.61492252612026,7.50325274240518,7.73688797025009,7.89430388091493,7.6927649399435,7.87971633865123,"LINC01128"
"ENSG00000225880",5.84157042217329,5.90866347186318,6.17303261953069,5.83075680654537,6.04401336864715,5.73020902711406,NA
"ENSG00000272438",5.56795900410903,5.90866347186318,5.68819431414795,5.64469130782133,5.51631177604261,5.43225849630727,NA
"ENSG00000230699",5.87622438953296,5.76015704046544,5.93317541133141,6.08933617329061,5.65084094740345,5.67365025968087,NA
"ENSG00000223764",6.19726283012367,6.22642401608013,6.04521275782602,6.14208700546006,5.79798733897092,5.43225849630727,"LINC02593"
"ENSG00000187634",6.49604152367212,6.36214716626085,5.74641216277812,6.08933617329061,6.15459971084536,5.53254796178784,"SAMD11"
"ENSG00000188976",11.9450427371825,11.6176251091759,11.7927423526796,12.0369856367746,12.136690679268,12.4452276378452,"NOC2L"
"ENSG00000187961",8.47883390076672,8.59548696476097,9.45437625462598,9.59885037557389,9.03737201763427,8.67681136497512,"KLHL17"
"ENSG00000187583",6.21901287908044,6.3365284780212,6.5950504031295,6.56476239271817,6.42114741923117,6.11577472647271,"PLEKHN1"
"ENSG00000187642",5.40827875476777,6.02968496940848,5.89146862808021,5.78992687561757,6.0137512387704,5.9117377806544,"PERM1"
"ENSG00000272512",5.4987433775035,5.44585014100165,5.43960949891239,5.74592806868094,5.58941112753347,5.18916229606352,NA
"ENSG00000188290",7.71404559518915,8.07422784480715,6.98141446563348,7.6314491435426,7.28355853346917,6.74529084432851,"HES4"
"ENSG00000187608",8.77612894039611,9.1031546364025,8.51061054649237,8.62606278926073,8.87514953520334,8.624192608194,"ISG15"
"ENSG00000188157",12.9215688373633,12.2459860271117,12.7036092509674,13.7031177222453,12.881847928132,13.1302431177414,"AGRN"
"ENSG00000217801",6.21901287908044,6.56723399042324,6.51544230341911,6.58104904490038,6.49580659849054,6.25331914559414,NA
"ENSG00000273443",5.4987433775035,5.18916229606352,5.62187073937371,5.64469130782133,5.18916229606352,5.18916229606352,NA
"ENSG00000131591",8.31843660235383,8.63840756677988,8.23951525797374,8.67583232382213,8.62770026206968,8.41406042538769,"C1orf159"
"ENSG00000272141",5.4987433775035,5.70053418619523,5.79885359899228,6.16725436451876,5.98220719660564,5.53254796178784,NA
"ENSG00000205231",5.84157042217329,5.70053418619523,5.18916229606352,5.58406876767317,5.70479122056612,5.73020902711406,"TTLL10-AS1"
"ENSG00000162571",5.80483067526391,5.95134716918995,5.54290621656904,5.69793696642301,5.75341346213997,5.60923011344797,"TTLL10"
"ENSG00000186891",6.24024081347153,6.60781571121622,5.97248334746111,6.14208700546006,6.4015866449401,6.05370140058679,"TNFRSF18"
"ENSG00000186827",5.62614418774403,5.55169810502553,5.18916229606352,5.69793696642301,5.18916229606352,5.43225849630727,"TNFRSF4"
"ENSG00000078808",11.2168899854033,11.3283192561898,11.0575069089771,11.475245302648,11.3859994771544,11.4592858374723,"SDF4"
"ENSG00000176022",10.0883106462996,10.2805044314649,9.14057799755735,10.1571225400888,10.3214945064135,10.2004079445885,"B3GALT6"
"ENSG00000184163",6.83868790049791,6.99279773645798,6.80424268003468,6.6739583014704,6.79300335340549,6.39479220351742,"C1QTNF12"
"ENSG00000260179",5.4987433775035,5.86304761793467,6.04521275782602,5.69793696642301,5.79798733897092,5.18916229606352,NA
"ENSG00000160087",10.6107766314169,10.7384391302123,10.24265067828,10.5723470186932,10.9108362729169,11.0161643800047,"UBE2J2"
"ENSG00000230415",6.07928531497908,5.70053418619523,5.93317541133141,6.06160468174378,5.42073917321374,5.18916229606352,NA
"ENSG00000162572",6.73998350712046,7.04866635355592,7.46565052395638,7.38994000466327,6.66210707714297,6.39479220351742,"SCNN1D"
"ENSG00000131584",9.2456649586687,9.31017007091868,9.57841063174607,9.94509987081612,9.36983882229613,9.56119734082631,"ACAP3"
"ENSG00000169972",9.4548776773473,9.98949021385765,9.16303487561517,9.61076860588787,10.1149745983758,9.8980528227355,"PUSL1"
"ENSG00000127054",11.4285590771634,11.4413875548689,11.2461223288645,11.4390118848659,11.4186420270654,11.4751609060879,"INTS11"
"ENSG00000240731",6.07928531497908,6.31020281917375,6.65112574293862,6.4244898694265,6.20481380785098,6.22749232682004,NA
"ENSG00000224051",8.6505998141924,8.88963959416985,8.52811826633567,8.7673728241216,8.98711566205048,9.05385216716654,"CPTP"
"ENSG00000169962",5.62614418774403,5.86304761793467,5.84690435339636,5.86899050210992,5.70479122056612,5.53254796178784,"TAS1R3"
"ENSG00000107404",11.0841912048373,11.1471453992312,10.8229933424232,11.3526060057014,11.2328864807818,11.4405413291003,"DVL1"
"ENSG00000162576",8.27928474901283,8.7753332901132,8.17393257851747,8.80954114870812,8.34476601683413,7.77831052184754,"MXRA8"
"ENSG00000175756",11.3261307564255,11.9101884335066,11.0775181614219,11.4318462405596,11.8803875972274,11.7155258085466,"AURKAIP1"
"ENSG00000221978",10.463385363086,10.2158925582733,11.1352306556015,11.1509255501404,10.2684445502532,10.4840440095949,"CCNL2"
"ENSG00000224870",8.93711829981824,9.34150985580736,8.97265308441817,9.05686692454621,9.04256075455378,9.10939629772801,"MRPL20-AS1"
"ENSG00000242485",10.7158233411976,11.0629470772274,10.3477560777816,10.6402624065806,10.907301097233,10.7542746088449,"MRPL20"
