Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,138,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,88.05229187011719,91.87760162353516,85.41100311279297,82.67863464355469,,
A2,false,138,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,85.86639404296875,76.30311584472656,72.56888580322266,79.76411437988281,,
A3,false,138,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,85.41100311279297,72.65995788574219,93.06163024902344,77.39606475830078,,
A4,false,139,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,87.05042266845703,72.2045669555664,83.04295349121094,77.57821655273438,,
A5,false,139,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,85.13604736328125,87.95925903320312,89.96282958984375,81.31103515625,,
A6,false,139,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,89.50747680664062,91.51104736328125,75.027099609375,81.219970703125,,
A7,false,140,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,87.50390625,93.69676208496094,91.69319152832031,61.27530288696289,,
A8,false,140,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,87.8681869506836,89.87176513671875,75.39138793945312,65.2824478149414,,
A9,false,140,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,93.29071044921875,85.923095703125,78.00972747802734,72.6431884765625,,
A10,false,141,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,86.92362976074219,71.82456970214844,81.55709838867188,76.73631286621094,,
A11,false,141,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,87.37842559814453,62.092037200927734,73.09798431396484,82.19380187988281,,
A12,false,141,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,74.91714477539062,86.01405334472656,82.64859771728516,71.82456970214844,,
A13,false,142,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,85.92733001708984,88.65652465820312,72.46331024169922,69.73412322998047,,
A14,false,142,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,84.47176361083984,90.56695556640625,78.19461822509766,81.56062316894531,,
A15,false,142,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,77.46683502197266,91.56766510009766,90.0211181640625,79.92311096191406,,
A16,false,143,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,88.65652465820312,79.01337432861328,91.29474639892578,64.36670684814453,,
A17,false,143,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,92.96354675292969,88.50160217285156,84.76813507080078,63.7332649230957,,
A18,false,143,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,77.48332977294922,86.49827575683594,62.36736297607422,80.6704330444336,,
A19,false,144,DHH,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,83.85753631591797,81.6720962524414,86.6803970336914,71.74655151367188,,
