"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","nlogq","attr","conv_GR"
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","81/2854","162/20772",2.03773696616262e-28,1.28540447825538e-24,1.16987551720536e-24,"ENSG00000107815/ENSG00000178460/ENSG00000187790/ENSG00000069275/ENSG00000113522/ENSG00000175305/ENSG00000135336/ENSG00000132383/ENSG00000020922/ENSG00000111445/ENSG00000103423/ENSG00000005156/ENSG00000167325/ENSG00000256525/ENSG00000115942/ENSG00000112029/ENSG00000077514/ENSG00000127311/ENSG00000125885/ENSG00000125871/ENSG00000146263/ENSG00000181938/ENSG00000105486/ENSG00000161692/ENSG00000014138/ENSG00000168411/ENSG00000132646/ENSG00000168496/ENSG00000166508/ENSG00000101868/ENSG00000177084/ENSG00000127586/ENSG00000062822/ENSG00000091651/ENSG00000006634/ENSG00000183763/ENSG00000136504/ENSG00000143799/ENSG00000133119/ENSG00000075131/ENSG00000112312/ENSG00000163918/ENSG00000146143/ENSG00000013573/ENSG00000093009/ENSG00000176208/ENSG00000137309/ENSG00000140534/ENSG00000160949/ENSG00000012048/ENSG00000160957/ENSG00000147536/ENSG00000051180/ENSG00000101003/ENSG00000111602/ENSG00000049541/ENSG00000094804/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000073111/ENSG00000138346/ENSG00000139618/ENSG00000197299/ENSG00000112118/ENSG00000198554/ENSG00000097046/ENSG00000105173/ENSG00000131153/ENSG00000167513/ENSG00000065328/ENSG00000100479/ENSG00000101347/ENSG00000198056/ENSG00000100297/ENSG00000129173/ENSG00000085840/ENSG00000203907/ENSG00000203908/ENSG00000136982/ENSG00000147601",81,23.9318603477128,"Down",0.0283812193412754
"GO:0006260","BP","GO:0006260","DNA replication","115/2854","299/20772",7.72329396097876e-27,2.4359269152927e-23,2.21699185595675e-23,"ENSG00000107815/ENSG00000135913/ENSG00000178460/ENSG00000187790/ENSG00000069275/ENSG00000113522/ENSG00000175305/ENSG00000135336/ENSG00000132383/ENSG00000020922/ENSG00000043143/ENSG00000115355/ENSG00000114933/ENSG00000111445/ENSG00000149136/ENSG00000108055/ENSG00000092201/ENSG00000101442/ENSG00000141446/ENSG00000103423/ENSG00000005156/ENSG00000167325/ENSG00000256525/ENSG00000115942/ENSG00000112029/ENSG00000077514/ENSG00000127311/ENSG00000119335/ENSG00000117748/ENSG00000125885/ENSG00000125871/ENSG00000146263/ENSG00000077684/ENSG00000181938/ENSG00000105486/ENSG00000161692/ENSG00000128951/ENSG00000014138/ENSG00000168411/ENSG00000132646/ENSG00000168496/ENSG00000170312/ENSG00000166508/ENSG00000101868/ENSG00000177084/ENSG00000127586/ENSG00000062822/ENSG00000091651/ENSG00000149554/ENSG00000006634/ENSG00000183763/ENSG00000136504/ENSG00000143799/ENSG00000178966/ENSG00000133119/ENSG00000159259/ENSG00000075131/ENSG00000112312/ENSG00000163918/ENSG00000205309/ENSG00000145386/ENSG00000146143/ENSG00000013573/ENSG00000093009/ENSG00000176208/ENSG00000137309/ENSG00000184428/ENSG00000140534/ENSG00000160949/ENSG00000012048/ENSG00000160957/ENSG00000147536/ENSG00000171320/ENSG00000106399/ENSG00000171848/ENSG00000051180/ENSG00000111087/ENSG00000101003/ENSG00000111602/ENSG00000049541/ENSG00000094804/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000143476/ENSG00000073111/ENSG00000132780/ENSG00000138346/ENSG00000139618/ENSG00000197299/ENSG00000167670/ENSG00000112118/ENSG00000198554/ENSG00000097046/ENSG00000104889/ENSG00000105173/ENSG00000131153/ENSG00000167513/ENSG00000065328/ENSG00000189057/ENSG00000100479/ENSG00000166803/ENSG00000101347/ENSG00000198056/ENSG00000100297/ENSG00000129173/ENSG00000085840/ENSG00000203907/ENSG00000150594/ENSG00000158806/ENSG00000175643/ENSG00000203908/ENSG00000136982/ENSG00000147601/ENSG00000139567",115,22.6542359022484,"Down",0.0402943237561317
"GO:0007059","BP","GO:0007059","Chromosome segregation","140/2854","499/20772",1.77023639959395e-17,3.72221706954621e-14,3.3876734468019e-14,"ENSG00000085415/ENSG00000108604/ENSG00000161888/ENSG00000187790/ENSG00000120253/ENSG00000149273/ENSG00000249115/ENSG00000175305/ENSG00000160783/ENSG00000020922/ENSG00000070950/ENSG00000136824/ENSG00000154473/ENSG00000163029/ENSG00000131470/ENSG00000108055/ENSG00000180336/ENSG00000104884/ENSG00000005022/ENSG00000121621/ENSG00000132341/ENSG00000131351/ENSG00000179041/ENSG00000141446/ENSG00000161800/ENSG00000212916/ENSG00000121101/ENSG00000147874/ENSG00000160117/ENSG00000179051/ENSG00000117697/ENSG00000075188/ENSG00000105146/ENSG00000153107/ENSG00000104983/ENSG00000137807/ENSG00000161860/ENSG00000112029/ENSG00000031691/ENSG00000010292/ENSG00000174442/ENSG00000113810/ENSG00000180198/ENSG00000151849/ENSG00000152240/ENSG00000114346/ENSG00000198624/ENSG00000143228/ENSG00000128944/ENSG00000117724/ENSG00000137812/ENSG00000124486/ENSG00000066279/ENSG00000071539/ENSG00000156876/ENSG00000011332/ENSG00000117650/ENSG00000149503/ENSG00000092036/ENSG00000163535/ENSG00000149636/ENSG00000134690/ENSG00000100814/ENSG00000133302/ENSG00000123219/ENSG00000138778/ENSG00000164611/ENSG00000090889/ENSG00000088325/ENSG00000122952/ENSG00000123473/ENSG00000203760/ENSG00000109805/ENSG00000116670/ENSG00000058804/ENSG00000178966/ENSG00000079616/ENSG00000118193/ENSG00000134057/ENSG00000184445/ENSG00000129810/ENSG00000131747/ENSG00000076382/ENSG00000080986/ENSG00000152253/ENSG00000226650/ENSG00000163808/ENSG00000164109/ENSG00000087586/ENSG00000146918/ENSG00000148773/ENSG00000134222/ENSG00000138160/ENSG00000013810/ENSG00000123485/ENSG00000012048/ENSG00000089685/ENSG00000145700/ENSG00000157456/ENSG00000171320/ENSG00000142945/ENSG00000112742/ENSG00000094804/ENSG00000121152/ENSG00000159055/ENSG00000175063/ENSG00000184661/ENSG00000186185/ENSG00000177602/ENSG00000183765/ENSG00000153044/ENSG00000166851/ENSG00000144554/ENSG00000146670/ENSG00000156970/ENSG00000135476/ENSG00000120498/ENSG00000126787/ENSG00000104147/ENSG00000101447/ENSG00000178999/ENSG00000169679/ENSG00000125337/ENSG00000105173/ENSG00000077080/ENSG00000101057/ENSG00000117399/ENSG00000167513/ENSG00000165480/ENSG00000121211/ENSG00000198765/ENSG00000175643/ENSG00000178222/ENSG00000136982/ENSG00000147601/ENSG00000162039/ENSG00000136014/ENSG00000100206/ENSG00000133863/ENSG00000159374",140,13.4700984599373,"Down",0.0490539593552908
"GO:0000725","BP","GO:0000725","Recombinational repair","70/2854","183/20772",1.02184695873897e-16,1.61145265393136e-13,1.46661929288483e-13,"ENSG00000178460/ENSG00000011258/ENSG00000196419/ENSG00000187790/ENSG00000069275/ENSG00000079246/ENSG00000107672/ENSG00000132383/ENSG00000181544/ENSG00000020922/ENSG00000141499/ENSG00000139579/ENSG00000163029/ENSG00000164808/ENSG00000171792/ENSG00000080345/ENSG00000005156/ENSG00000160117/ENSG00000127337/ENSG00000169189/ENSG00000188486/ENSG00000083093/ENSG00000127311/ENSG00000117748/ENSG00000197275/ENSG00000125885/ENSG00000146263/ENSG00000168411/ENSG00000168496/ENSG00000166508/ENSG00000101040/ENSG00000133302/ENSG00000125319/ENSG00000134758/ENSG00000149554/ENSG00000116670/ENSG00000143799/ENSG00000178966/ENSG00000093009/ENSG00000160949/ENSG00000012048/ENSG00000160957/ENSG00000185480/ENSG00000147536/ENSG00000106399/ENSG00000051180/ENSG00000085999/ENSG00000111602/ENSG00000196584/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000255150/ENSG00000127423/ENSG00000073111/ENSG00000111247/ENSG00000139618/ENSG00000197299/ENSG00000112118/ENSG00000097046/ENSG00000131153/ENSG00000101347/ENSG00000164430/ENSG00000100297/ENSG00000203907/ENSG00000175643/ENSG00000203908/ENSG00000162039/ENSG00000100206/ENSG00000133863",70,12.8336826063046,"Down",0.0245269796776454
"GO:0098813","BP","GO:0098813","Nuclear chromosome segregation","112/2854","384/20772",1.60322061394823e-15,2.02262312655708e-12,1.84083478494182e-12,"ENSG00000085415/ENSG00000108604/ENSG00000161888/ENSG00000187790/ENSG00000175305/ENSG00000020922/ENSG00000136824/ENSG00000154473/ENSG00000131470/ENSG00000108055/ENSG00000180336/ENSG00000121621/ENSG00000132341/ENSG00000179041/ENSG00000141446/ENSG00000161800/ENSG00000212916/ENSG00000121101/ENSG00000160117/ENSG00000179051/ENSG00000117697/ENSG00000105146/ENSG00000153107/ENSG00000104983/ENSG00000137807/ENSG00000161860/ENSG00000112029/ENSG00000031691/ENSG00000010292/ENSG00000174442/ENSG00000113810/ENSG00000114346/ENSG00000143228/ENSG00000128944/ENSG00000117724/ENSG00000137812/ENSG00000066279/ENSG00000071539/ENSG00000011332/ENSG00000117650/ENSG00000149503/ENSG00000163535/ENSG00000149636/ENSG00000134690/ENSG00000100814/ENSG00000133302/ENSG00000123219/ENSG00000138778/ENSG00000164611/ENSG00000090889/ENSG00000088325/ENSG00000122952/ENSG00000109805/ENSG00000116670/ENSG00000058804/ENSG00000178966/ENSG00000079616/ENSG00000118193/ENSG00000134057/ENSG00000184445/ENSG00000129810/ENSG00000131747/ENSG00000076382/ENSG00000080986/ENSG00000152253/ENSG00000226650/ENSG00000163808/ENSG00000164109/ENSG00000087586/ENSG00000146918/ENSG00000134222/ENSG00000138160/ENSG00000013810/ENSG00000089685/ENSG00000145700/ENSG00000157456/ENSG00000171320/ENSG00000142945/ENSG00000112742/ENSG00000094804/ENSG00000121152/ENSG00000175063/ENSG00000186185/ENSG00000177602/ENSG00000183765/ENSG00000166851/ENSG00000144554/ENSG00000146670/ENSG00000156970/ENSG00000135476/ENSG00000120498/ENSG00000126787/ENSG00000101447/ENSG00000178999/ENSG00000169679/ENSG00000125337/ENSG00000105173/ENSG00000077080/ENSG00000101057/ENSG00000117399/ENSG00000167513/ENSG00000121211/ENSG00000198765/ENSG00000175643/ENSG00000178222/ENSG00000136982/ENSG00000147601/ENSG00000162039/ENSG00000136014/ENSG00000100206/ENSG00000133863/ENSG00000159374",112,11.7349851877088,"Down",0.0392431674842327
"GO:0000724","BP","GO:0000724","Double-strand break repair via homologous recombination","66/2854","179/20772",6.30426952467044e-15,6.62788869360352e-12,6.03219052413203e-12,"ENSG00000178460/ENSG00000011258/ENSG00000187790/ENSG00000069275/ENSG00000107672/ENSG00000132383/ENSG00000181544/ENSG00000020922/ENSG00000141499/ENSG00000139579/ENSG00000163029/ENSG00000164808/ENSG00000080345/ENSG00000005156/ENSG00000160117/ENSG00000127337/ENSG00000169189/ENSG00000188486/ENSG00000083093/ENSG00000127311/ENSG00000117748/ENSG00000197275/ENSG00000125885/ENSG00000146263/ENSG00000168411/ENSG00000168496/ENSG00000166508/ENSG00000101040/ENSG00000133302/ENSG00000134758/ENSG00000149554/ENSG00000116670/ENSG00000143799/ENSG00000178966/ENSG00000093009/ENSG00000160949/ENSG00000012048/ENSG00000160957/ENSG00000185480/ENSG00000147536/ENSG00000106399/ENSG00000051180/ENSG00000085999/ENSG00000111602/ENSG00000196584/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000255150/ENSG00000127423/ENSG00000073111/ENSG00000111247/ENSG00000139618/ENSG00000197299/ENSG00000112118/ENSG00000097046/ENSG00000131153/ENSG00000101347/ENSG00000164430/ENSG00000100297/ENSG00000203907/ENSG00000175643/ENSG00000203908/ENSG00000162039/ENSG00000100206/ENSG00000133863",66,11.219524949918,"Down",0.02312543798178
"GO:0006310","BP","GO:0006310","DNA recombination","102/2854","354/20772",6.94214780597784e-14,6.25586690858689e-11,5.69360513290273e-11,"ENSG00000161955/ENSG00000178460/ENSG00000011258/ENSG00000196419/ENSG00000187790/ENSG00000069275/ENSG00000113522/ENSG00000079246/ENSG00000107672/ENSG00000132383/ENSG00000181544/ENSG00000020922/ENSG00000141499/ENSG00000139579/ENSG00000163029/ENSG00000114933/ENSG00000131470/ENSG00000164808/ENSG00000104884/ENSG00000171792/ENSG00000080345/ENSG00000101442/ENSG00000116062/ENSG00000168152/ENSG00000005156/ENSG00000160117/ENSG00000127337/ENSG00000169189/ENSG00000188486/ENSG00000083093/ENSG00000127311/ENSG00000182481/ENSG00000117748/ENSG00000197275/ENSG00000125885/ENSG00000146263/ENSG00000168411/ENSG00000071539/ENSG00000029993/ENSG00000163961/ENSG00000144381/ENSG00000168496/ENSG00000100814/ENSG00000166508/ENSG00000101040/ENSG00000164104/ENSG00000133302/ENSG00000125319/ENSG00000134758/ENSG00000149554/ENSG00000116670/ENSG00000127152/ENSG00000143799/ENSG00000178966/ENSG00000131747/ENSG00000093009/ENSG00000176208/ENSG00000160949/ENSG00000012048/ENSG00000160957/ENSG00000185480/ENSG00000145700/ENSG00000147536/ENSG00000106399/ENSG00000051180/ENSG00000174371/ENSG00000085999/ENSG00000111602/ENSG00000196584/ENSG00000101017/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000255150/ENSG00000127423/ENSG00000073111/ENSG00000111247/ENSG00000144554/ENSG00000139618/ENSG00000189060/ENSG00000076248/ENSG00000197299/ENSG00000182459/ENSG00000120498/ENSG00000112118/ENSG00000097046/ENSG00000095002/ENSG00000131153/ENSG00000101347/ENSG00000164430/ENSG00000100297/ENSG00000203907/ENSG00000121211/ENSG00000124575/ENSG00000140451/ENSG00000198765/ENSG00000175643/ENSG00000178222/ENSG00000203908/ENSG00000162039/ENSG00000100206/ENSG00000133863",102,10.2446126556555,"Down",0.035739313244569
"GO:0032392","BP","GO:0032392","DNA geometric change","40/2854","86/20772",2.0612645753757e-13,1.62530711768374e-10,1.47922855185514e-10,"ENSG00000107815/ENSG00000178460/ENSG00000196419/ENSG00000187790/ENSG00000113522/ENSG00000079246/ENSG00000020922/ENSG00000111445/ENSG00000122566/ENSG00000104884/ENSG00000127311/ENSG00000197275/ENSG00000125885/ENSG00000181938/ENSG00000029993/ENSG00000166508/ENSG00000127586/ENSG00000164104/ENSG00000133119/ENSG00000131747/ENSG00000163918/ENSG00000013573/ENSG00000093009/ENSG00000137309/ENSG00000160957/ENSG00000147536/ENSG00000051180/ENSG00000101003/ENSG00000049541/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000073111/ENSG00000138346/ENSG00000197299/ENSG00000112118/ENSG00000131153/ENSG00000100297/ENSG00000145736/ENSG00000136982",40,9.82996471907883,"Down",0.0140154169586545
"GO:0090329","BP","GO:0090329","Regulation of DNA-templated DNA replication","32/2854","59/20772",2.387421309841e-13,1.67331706916411e-10,1.52292348817226e-10,"ENSG00000111445/ENSG00000005156/ENSG00000256525/ENSG00000112029/ENSG00000181938/ENSG00000161692/ENSG00000132646/ENSG00000166508/ENSG00000127586/ENSG00000006634/ENSG00000136504/ENSG00000133119/ENSG00000075131/ENSG00000112312/ENSG00000163918/ENSG00000140534/ENSG00000147536/ENSG00000101003/ENSG00000111602/ENSG00000049541/ENSG00000076003/ENSG00000104738/ENSG00000073111/ENSG00000139618/ENSG00000197299/ENSG00000112118/ENSG00000097046/ENSG00000131153/ENSG00000167513/ENSG00000100297/ENSG00000129173/ENSG00000136982",32,9.81732191511391,"Down",0.0112123335669236
"GO:0071103","BP","GO:0071103","DNA conformation change","42/2854","94/20772",2.86829612296126e-13,1.80932119436396e-10,1.64670390048744e-10,"ENSG00000107815/ENSG00000178460/ENSG00000196419/ENSG00000187790/ENSG00000113522/ENSG00000079246/ENSG00000020922/ENSG00000111445/ENSG00000122566/ENSG00000104884/ENSG00000127311/ENSG00000197275/ENSG00000125885/ENSG00000181938/ENSG00000029993/ENSG00000166508/ENSG00000127586/ENSG00000164104/ENSG00000133119/ENSG00000131747/ENSG00000163918/ENSG00000013573/ENSG00000093009/ENSG00000137309/ENSG00000184428/ENSG00000160957/ENSG00000147536/ENSG00000051180/ENSG00000101003/ENSG00000049541/ENSG00000076003/ENSG00000104738/ENSG00000051341/ENSG00000073111/ENSG00000138346/ENSG00000197299/ENSG00000112118/ENSG00000131153/ENSG00000100297/ENSG00000145736/ENSG00000136982/ENSG00000152804",42,9.78338448580001,"Down",0.0147161878065872
