"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","nlogq","attr","conv_GR"
"GO:0061448","BP","GO:0061448","Connective tissue development","122/2741","289/20772",1.05550703436339e-34,6.72569082296351e-31,4.4820161859178e-31,"ENSG00000166396/ENSG00000168542/ENSG00000069011/ENSG00000176692/ENSG00000156466/ENSG00000087494/ENSG00000107796/ENSG00000120093/ENSG00000120149/ENSG00000043039/ENSG00000111341/ENSG00000113196/ENSG00000115844/ENSG00000150347/ENSG00000105997/ENSG00000259207/ENSG00000112175/ENSG00000113083/ENSG00000132170/ENSG00000130635/ENSG00000078401/ENSG00000125965/ENSG00000019549/ENSG00000137745/ENSG00000116132/ENSG00000164107/ENSG00000166923/ENSG00000077092/ENSG00000085741/ENSG00000143867/ENSG00000168487/ENSG00000188064/ENSG00000102678/ENSG00000108821/ENSG00000183691/ENSG00000154764/ENSG00000060718/ENSG00000118523/ENSG00000139219/ENSG00000120708/ENSG00000129514/ENSG00000109705/ENSG00000151388/ENSG00000109906/ENSG00000143369/ENSG00000134013/ENSG00000111186/ENSG00000110693/ENSG00000169231/ENSG00000125378/ENSG00000143816/ENSG00000137573/ENSG00000160801/ENSG00000113369/ENSG00000134245/ENSG00000178573/ENSG00000138696/ENSG00000125845/ENSG00000143869/ENSG00000124813/ENSG00000100311/ENSG00000148516/ENSG00000081189/ENSG00000182197/ENSG00000196562/ENSG00000184371/ENSG00000147408/ENSG00000113721/ENSG00000112964/ENSG00000142871/ENSG00000169884/ENSG00000134532/ENSG00000204217/ENSG00000168056/ENSG00000163132/ENSG00000105855/ENSG00000003402/ENSG00000125398/ENSG00000163346/ENSG00000166949/ENSG00000101665/ENSG00000162510/ENSG00000106799/ENSG00000114251/ENSG00000120738/ENSG00000196843/ENSG00000101144/ENSG00000172201/ENSG00000115380/ENSG00000105204/ENSG00000105329/ENSG00000182158/ENSG00000144320/ENSG00000104447/ENSG00000163513/ENSG00000169762/ENSG00000104331/ENSG00000156427/ENSG00000165240/ENSG00000182704/ENSG00000165915/ENSG00000121879/ENSG00000131759/ENSG00000260428/ENSG00000100644/ENSG00000006747/ENSG00000139687/ENSG00000026508/ENSG00000143797/ENSG00000196739/ENSG00000132031/ENSG00000130529/ENSG00000008710/ENSG00000110492/ENSG00000128791/ENSG00000182600/ENSG00000072840/ENSG00000172071/ENSG00000101493/ENSG00000170962/ENSG00000132549/ENSG00000106571",122,30.3485265794292,"Up",0.0445093031740241
"GO:0060537","BP","GO:0060537","Muscle tissue development","154/2741","445/20772",1.60154214851578e-31,4.69371186266363e-28,3.12790062675275e-28,"ENSG00000121068/ENSG00000168542/ENSG00000120937/ENSG00000069011/ENSG00000148677/ENSG00000148704/ENSG00000092969/ENSG00000075223/ENSG00000176692/ENSG00000112837/ENSG00000141448/ENSG00000185551/ENSG00000159216/ENSG00000017427/ENSG00000008196/ENSG00000077943/ENSG00000016082/ENSG00000120149/ENSG00000043039/ENSG00000167244/ENSG00000115461/ENSG00000113196/ENSG00000198796/ENSG00000106631/ENSG00000112175/ENSG00000163638/ENSG00000113083/ENSG00000172399/ENSG00000078401/ENSG00000154330/ENSG00000198523/ENSG00000135111/ENSG00000054598/ENSG00000166923/ENSG00000164532/ENSG00000149596/ENSG00000086991/ENSG00000077092/ENSG00000105971/ENSG00000121742/ENSG00000138795/ENSG00000143867/ENSG00000136574/ENSG00000142700/ENSG00000107984/ENSG00000112183/ENSG00000171476/ENSG00000102678/ENSG00000183072/ENSG00000127124/ENSG00000183691/ENSG00000159251/ENSG00000180053/ENSG00000105974/ENSG00000102683/ENSG00000003137/ENSG00000060718/ENSG00000143632/ENSG00000121577/ENSG00000159388/ENSG00000102554/ENSG00000134853/ENSG00000138379/ENSG00000159200/ENSG00000132510/ENSG00000110693/ENSG00000117707/ENSG00000125378/ENSG00000160808/ENSG00000157168/ENSG00000183023/ENSG00000151320/ENSG00000142178/ENSG00000064655/ENSG00000138435/ENSG00000140416/ENSG00000125266/ENSG00000125845/ENSG00000173706/ENSG00000081189/ENSG00000122877/ENSG00000163659/ENSG00000113721/ENSG00000170345/ENSG00000197321/ENSG00000175206/ENSG00000100628/ENSG00000169884/ENSG00000114854/ENSG00000081479/ENSG00000114861/ENSG00000163132/ENSG00000003402/ENSG00000184058/ENSG00000122691/ENSG00000125398/ENSG00000185386/ENSG00000136068/ENSG00000166949/ENSG00000162772/ENSG00000104313/ENSG00000063660/ENSG00000101665/ENSG00000115641/ENSG00000164683/ENSG00000160789/ENSG00000107954/ENSG00000185022/ENSG00000133794/ENSG00000150093/ENSG00000149256/ENSG00000198947/ENSG00000178568/ENSG00000048052/ENSG00000135766/ENSG00000163110/ENSG00000106799/ENSG00000114251/ENSG00000120738/ENSG00000101144/ENSG00000108797/ENSG00000159176/ENSG00000172638/ENSG00000134250/ENSG00000105329/ENSG00000096696/ENSG00000165410/ENSG00000092841/ENSG00000065534/ENSG00000169946/ENSG00000163513/ENSG00000078114/ENSG00000178209/ENSG00000126778/ENSG00000104881/ENSG00000131759/ENSG00000260428/ENSG00000136830/ENSG00000148814/ENSG00000170776/ENSG00000144560/ENSG00000164442/ENSG00000179588/ENSG00000070831/ENSG00000139687/ENSG00000112276/ENSG00000090020/ENSG00000057294/ENSG00000109083/ENSG00000138814/ENSG00000108946/ENSG00000064309/ENSG00000068305/ENSG00000139174",154,27.5047470529071,"Up",0.0561838744983583
"GO:0051216","BP","GO:0051216","Cartilage development","98/2741","215/20772",2.20984550972864e-31,4.69371186266363e-28,3.12790062675275e-28,"ENSG00000168542/ENSG00000069011/ENSG00000156466/ENSG00000087494/ENSG00000120093/ENSG00000120149/ENSG00000043039/ENSG00000111341/ENSG00000113196/ENSG00000115844/ENSG00000105997/ENSG00000112175/ENSG00000078401/ENSG00000125965/ENSG00000019549/ENSG00000137745/ENSG00000116132/ENSG00000164107/ENSG00000166923/ENSG00000077092/ENSG00000085741/ENSG00000143867/ENSG00000168487/ENSG00000188064/ENSG00000102678/ENSG00000108821/ENSG00000183691/ENSG00000154764/ENSG00000060718/ENSG00000118523/ENSG00000139219/ENSG00000120708/ENSG00000109705/ENSG00000151388/ENSG00000109906/ENSG00000143369/ENSG00000134013/ENSG00000111186/ENSG00000110693/ENSG00000169231/ENSG00000125378/ENSG00000143816/ENSG00000137573/ENSG00000160801/ENSG00000134245/ENSG00000178573/ENSG00000138696/ENSG00000125845/ENSG00000124813/ENSG00000148516/ENSG00000081189/ENSG00000182197/ENSG00000196562/ENSG00000147408/ENSG00000112964/ENSG00000142871/ENSG00000169884/ENSG00000134532/ENSG00000204217/ENSG00000168056/ENSG00000163132/ENSG00000105855/ENSG00000125398/ENSG00000163346/ENSG00000166949/ENSG00000101665/ENSG00000162510/ENSG00000106799/ENSG00000114251/ENSG00000196843/ENSG00000101144/ENSG00000115380/ENSG00000105329/ENSG00000182158/ENSG00000144320/ENSG00000104447/ENSG00000163513/ENSG00000169762/ENSG00000104331/ENSG00000156427/ENSG00000165240/ENSG00000182704/ENSG00000131759/ENSG00000260428/ENSG00000100644/ENSG00000006747/ENSG00000139687/ENSG00000026508/ENSG00000143797/ENSG00000196739/ENSG00000132031/ENSG00000008710/ENSG00000110492/ENSG00000128791/ENSG00000182600/ENSG00000072840/ENSG00000172071/ENSG00000106571",98,27.5047470529071,"Up",0.0357533746807734
"GO:0003007","BP","GO:0003007","Heart morphogenesis","107/2741","268/20772",4.18537972323268e-28,6.66730989910966e-25,4.44311100092648e-25,"ENSG00000121068/ENSG00000148677/ENSG00000092969/ENSG00000075223/ENSG00000176692/ENSG00000141448/ENSG00000016082/ENSG00000120149/ENSG00000107485/ENSG00000113196/ENSG00000198796/ENSG00000112175/ENSG00000130635/ENSG00000078401/ENSG00000019549/ENSG00000164107/ENSG00000135111/ENSG00000054598/ENSG00000164532/ENSG00000133816/ENSG00000085741/ENSG00000136574/ENSG00000112414/ENSG00000107984/ENSG00000157240/ENSG00000183072/ENSG00000183691/ENSG00000159251/ENSG00000060718/ENSG00000139219/ENSG00000109472/ENSG00000164093/ENSG00000203867/ENSG00000002745/ENSG00000169242/ENSG00000117707/ENSG00000125378/ENSG00000160808/ENSG00000164741/ENSG00000157168/ENSG00000184347/ENSG00000140416/ENSG00000125845/ENSG00000177606/ENSG00000197702/ENSG00000173706/ENSG00000081189/ENSG00000185070/ENSG00000182197/ENSG00000145147/ENSG00000137834/ENSG00000142871/ENSG00000100628/ENSG00000114854/ENSG00000081479/ENSG00000204217/ENSG00000163132/ENSG00000154734/ENSG00000118257/ENSG00000154736/ENSG00000184058/ENSG00000122691/ENSG00000125398/ENSG00000101384/ENSG00000166949/ENSG00000104313/ENSG00000082014/ENSG00000101665/ENSG00000115641/ENSG00000180176/ENSG00000163093/ENSG00000164683/ENSG00000171456/ENSG00000004399/ENSG00000135766/ENSG00000106799/ENSG00000114251/ENSG00000180340/ENSG00000101144/ENSG00000166341/ENSG00000134250/ENSG00000105329/ENSG00000096696/ENSG00000127418/ENSG00000135679/ENSG00000150593/ENSG00000169946/ENSG00000113971/ENSG00000163513/ENSG00000099250/ENSG00000108175/ENSG00000126778/ENSG00000114315/ENSG00000185008/ENSG00000104881/ENSG00000162496/ENSG00000100644/ENSG00000164442/ENSG00000179588/ENSG00000070831/ENSG00000196924/ENSG00000168014/ENSG00000107882/ENSG00000057294/ENSG00000139174/ENSG00000166333/ENSG00000105429",107,24.3523128367732,"Up",0.0390368478657424
"GO:0030198","BP","GO:0030198","Extracellular matrix organization","128/2741","364/20772",4.05732084099896e-27,5.17064967976908e-24,3.44573311001891e-24,"ENSG00000139329/ENSG00000171819/ENSG00000168542/ENSG00000140873/ENSG00000092969/ENSG00000176692/ENSG00000078098/ENSG00000137673/ENSG00000159216/ENSG00000144810/ENSG00000077943/ENSG00000065618/ENSG00000038295/ENSG00000163131/ENSG00000259207/ENSG00000163638/ENSG00000113083/ENSG00000130635/ENSG00000166670/ENSG00000137745/ENSG00000133110/ENSG00000054598/ENSG00000111799/ENSG00000166923/ENSG00000205221/ENSG00000105971/ENSG00000168487/ENSG00000109072/ENSG00000074527/ENSG00000168743/ENSG00000108821/ENSG00000100985/ENSG00000105974/ENSG00000060718/ENSG00000118523/ENSG00000139219/ENSG00000164692/ENSG00000187498/ENSG00000120708/ENSG00000049192/ENSG00000138131/ENSG00000151388/ENSG00000134013/ENSG00000134853/ENSG00000182718/ENSG00000134871/ENSG00000196611/ENSG00000204262/ENSG00000087245/ENSG00000129038/ENSG00000204291/ENSG00000137573/ENSG00000081148/ENSG00000091986/ENSG00000185585/ENSG00000225614/ENSG00000125845/ENSG00000154175/ENSG00000185070/ENSG00000182197/ENSG00000132561/ENSG00000196562/ENSG00000147408/ENSG00000166106/ENSG00000112706/ENSG00000143341/ENSG00000142871/ENSG00000137273/ENSG00000162733/ENSG00000157613/ENSG00000091136/ENSG00000188153/ENSG00000154734/ENSG00000086062/ENSG00000003402/ENSG00000157227/ENSG00000154736/ENSG00000111863/ENSG00000125398/ENSG00000163346/ENSG00000122884/ENSG00000101439/ENSG00000166949/ENSG00000198756/ENSG00000107821/ENSG00000105290/ENSG00000162510/ENSG00000150093/ENSG00000007952/ENSG00000106799/ENSG00000084636/ENSG00000138061/ENSG00000171502/ENSG00000183087/ENSG00000143382/ENSG00000172638/ENSG00000105329/ENSG00000197565/ENSG00000140564/ENSG00000156218/ENSG00000077150/ENSG00000113971/ENSG00000114270/ENSG00000135862/ENSG00000107036/ENSG00000165240/ENSG00000172037/ENSG00000144824/ENSG00000116962/ENSG00000260428/ENSG00000142303/ENSG00000106624/ENSG00000123384/ENSG00000182871/ENSG00000141696/ENSG00000179403/ENSG00000204580/ENSG00000139687/ENSG00000196739/ENSG00000132031/ENSG00000140092/ENSG00000177963/ENSG00000169604/ENSG00000087303/ENSG00000178031/ENSG00000069399/ENSG00000106397/ENSG00000139174",128,23.4627183639556,"Up",0.0466982852973367
"GO:0043062","BP","GO:0043062","Extracellular structure organization","128/2741","365/20772",5.45707075107178e-27,5.79540913763823e-24,3.86207428242519e-24,"ENSG00000139329/ENSG00000171819/ENSG00000168542/ENSG00000140873/ENSG00000092969/ENSG00000176692/ENSG00000078098/ENSG00000137673/ENSG00000159216/ENSG00000144810/ENSG00000077943/ENSG00000065618/ENSG00000038295/ENSG00000163131/ENSG00000259207/ENSG00000163638/ENSG00000113083/ENSG00000130635/ENSG00000166670/ENSG00000137745/ENSG00000133110/ENSG00000054598/ENSG00000111799/ENSG00000166923/ENSG00000205221/ENSG00000105971/ENSG00000168487/ENSG00000109072/ENSG00000074527/ENSG00000168743/ENSG00000108821/ENSG00000100985/ENSG00000105974/ENSG00000060718/ENSG00000118523/ENSG00000139219/ENSG00000164692/ENSG00000187498/ENSG00000120708/ENSG00000049192/ENSG00000138131/ENSG00000151388/ENSG00000134013/ENSG00000134853/ENSG00000182718/ENSG00000134871/ENSG00000196611/ENSG00000204262/ENSG00000087245/ENSG00000129038/ENSG00000204291/ENSG00000137573/ENSG00000081148/ENSG00000091986/ENSG00000185585/ENSG00000225614/ENSG00000125845/ENSG00000154175/ENSG00000185070/ENSG00000182197/ENSG00000132561/ENSG00000196562/ENSG00000147408/ENSG00000166106/ENSG00000112706/ENSG00000143341/ENSG00000142871/ENSG00000137273/ENSG00000162733/ENSG00000157613/ENSG00000091136/ENSG00000188153/ENSG00000154734/ENSG00000086062/ENSG00000003402/ENSG00000157227/ENSG00000154736/ENSG00000111863/ENSG00000125398/ENSG00000163346/ENSG00000122884/ENSG00000101439/ENSG00000166949/ENSG00000198756/ENSG00000107821/ENSG00000105290/ENSG00000162510/ENSG00000150093/ENSG00000007952/ENSG00000106799/ENSG00000084636/ENSG00000138061/ENSG00000171502/ENSG00000183087/ENSG00000143382/ENSG00000172638/ENSG00000105329/ENSG00000197565/ENSG00000140564/ENSG00000156218/ENSG00000077150/ENSG00000113971/ENSG00000114270/ENSG00000135862/ENSG00000107036/ENSG00000165240/ENSG00000172037/ENSG00000144824/ENSG00000116962/ENSG00000260428/ENSG00000142303/ENSG00000106624/ENSG00000123384/ENSG00000182871/ENSG00000141696/ENSG00000179403/ENSG00000204580/ENSG00000139687/ENSG00000196739/ENSG00000132031/ENSG00000140092/ENSG00000177963/ENSG00000169604/ENSG00000087303/ENSG00000178031/ENSG00000069399/ENSG00000106397/ENSG00000139174",128,23.4131793773362,"Up",0.0466982852973367
"GO:0045229","BP","GO:0045229","External encapsulating structure organization","128/2741","368/20772",1.31608356890747e-26,1.19801207158263e-23,7.98358062702667e-24,"ENSG00000139329/ENSG00000171819/ENSG00000168542/ENSG00000140873/ENSG00000092969/ENSG00000176692/ENSG00000078098/ENSG00000137673/ENSG00000159216/ENSG00000144810/ENSG00000077943/ENSG00000065618/ENSG00000038295/ENSG00000163131/ENSG00000259207/ENSG00000163638/ENSG00000113083/ENSG00000130635/ENSG00000166670/ENSG00000137745/ENSG00000133110/ENSG00000054598/ENSG00000111799/ENSG00000166923/ENSG00000205221/ENSG00000105971/ENSG00000168487/ENSG00000109072/ENSG00000074527/ENSG00000168743/ENSG00000108821/ENSG00000100985/ENSG00000105974/ENSG00000060718/ENSG00000118523/ENSG00000139219/ENSG00000164692/ENSG00000187498/ENSG00000120708/ENSG00000049192/ENSG00000138131/ENSG00000151388/ENSG00000134013/ENSG00000134853/ENSG00000182718/ENSG00000134871/ENSG00000196611/ENSG00000204262/ENSG00000087245/ENSG00000129038/ENSG00000204291/ENSG00000137573/ENSG00000081148/ENSG00000091986/ENSG00000185585/ENSG00000225614/ENSG00000125845/ENSG00000154175/ENSG00000185070/ENSG00000182197/ENSG00000132561/ENSG00000196562/ENSG00000147408/ENSG00000166106/ENSG00000112706/ENSG00000143341/ENSG00000142871/ENSG00000137273/ENSG00000162733/ENSG00000157613/ENSG00000091136/ENSG00000188153/ENSG00000154734/ENSG00000086062/ENSG00000003402/ENSG00000157227/ENSG00000154736/ENSG00000111863/ENSG00000125398/ENSG00000163346/ENSG00000122884/ENSG00000101439/ENSG00000166949/ENSG00000198756/ENSG00000107821/ENSG00000105290/ENSG00000162510/ENSG00000150093/ENSG00000007952/ENSG00000106799/ENSG00000084636/ENSG00000138061/ENSG00000171502/ENSG00000183087/ENSG00000143382/ENSG00000172638/ENSG00000105329/ENSG00000197565/ENSG00000140564/ENSG00000156218/ENSG00000077150/ENSG00000113971/ENSG00000114270/ENSG00000135862/ENSG00000107036/ENSG00000165240/ENSG00000172037/ENSG00000144824/ENSG00000116962/ENSG00000260428/ENSG00000142303/ENSG00000106624/ENSG00000123384/ENSG00000182871/ENSG00000141696/ENSG00000179403/ENSG00000204580/ENSG00000139687/ENSG00000196739/ENSG00000132031/ENSG00000140092/ENSG00000177963/ENSG00000169604/ENSG00000087303/ENSG00000178031/ENSG00000069399/ENSG00000106397/ENSG00000139174",128,23.0978022843649,"Up",0.0466982852973367
"GO:0003206","BP","GO:0003206","Cardiac chamber morphogenesis","67/2741","127/20772",1.62460080418933e-26,1.2939945405368e-23,8.623210058026e-24,"ENSG00000121068/ENSG00000092969/ENSG00000075223/ENSG00000176692/ENSG00000141448/ENSG00000016082/ENSG00000120149/ENSG00000107485/ENSG00000113196/ENSG00000112175/ENSG00000164107/ENSG00000135111/ENSG00000054598/ENSG00000164532/ENSG00000085741/ENSG00000136574/ENSG00000112414/ENSG00000157240/ENSG00000183072/ENSG00000183691/ENSG00000060718/ENSG00000109472/ENSG00000117707/ENSG00000125378/ENSG00000160808/ENSG00000157168/ENSG00000184347/ENSG00000140416/ENSG00000125845/ENSG00000197702/ENSG00000173706/ENSG00000081189/ENSG00000145147/ENSG00000137834/ENSG00000142871/ENSG00000114854/ENSG00000081479/ENSG00000204217/ENSG00000154734/ENSG00000118257/ENSG00000184058/ENSG00000101384/ENSG00000082014/ENSG00000101665/ENSG00000115641/ENSG00000164683/ENSG00000135766/ENSG00000106799/ENSG00000114251/ENSG00000180340/ENSG00000101144/ENSG00000134250/ENSG00000105329/ENSG00000096696/ENSG00000127418/ENSG00000135679/ENSG00000169946/ENSG00000163513/ENSG00000099250/ENSG00000114315/ENSG00000185008/ENSG00000104881/ENSG00000162496/ENSG00000100644/ENSG00000164442/ENSG00000179588/ENSG00000057294",67,23.0643310345267,"Up",0.0244436337103247
"GO:0002062","BP","GO:0002062","Chondrocyte differentiation","63/2741","116/20772",6.07890347674731e-26,4.30386366153709e-23,2.86810486844429e-23,"ENSG00000168542/ENSG00000156466/ENSG00000087494/ENSG00000120149/ENSG00000125965/ENSG00000019549/ENSG00000166923/ENSG00000077092/ENSG00000143867/ENSG00000102678/ENSG00000154764/ENSG00000060718/ENSG00000118523/ENSG00000139219/ENSG00000120708/ENSG00000109705/ENSG00000151388/ENSG00000109906/ENSG00000143369/ENSG00000134013/ENSG00000111186/ENSG00000110693/ENSG00000125378/ENSG00000143816/ENSG00000137573/ENSG00000160801/ENSG00000134245/ENSG00000178573/ENSG00000138696/ENSG00000125845/ENSG00000124813/ENSG00000081189/ENSG00000182197/ENSG00000196562/ENSG00000169884/ENSG00000134532/ENSG00000204217/ENSG00000168056/ENSG00000125398/ENSG00000166949/ENSG00000101665/ENSG00000162510/ENSG00000106799/ENSG00000196843/ENSG00000115380/ENSG00000105329/ENSG00000182158/ENSG00000144320/ENSG00000104447/ENSG00000163513/ENSG00000104331/ENSG00000156427/ENSG00000182704/ENSG00000260428/ENSG00000100644/ENSG00000006747/ENSG00000139687/ENSG00000143797/ENSG00000196739/ENSG00000110492/ENSG00000128791/ENSG00000172071/ENSG00000106571",63,22.5424049733131,"Up",0.0229843122947829
"GO:0014706","BP","GO:0014706","Striated muscle tissue development","101/2741","269/20772",3.82170565378998e-24,2.43519084259498e-21,1.62281690604092e-21,"ENSG00000121068/ENSG00000120937/ENSG00000148677/ENSG00000092969/ENSG00000075223/ENSG00000176692/ENSG00000112837/ENSG00000141448/ENSG00000159216/ENSG00000017427/ENSG00000016082/ENSG00000120149/ENSG00000113196/ENSG00000198796/ENSG00000106631/ENSG00000112175/ENSG00000163638/ENSG00000113083/ENSG00000078401/ENSG00000154330/ENSG00000198523/ENSG00000135111/ENSG00000054598/ENSG00000166923/ENSG00000164532/ENSG00000149596/ENSG00000086991/ENSG00000077092/ENSG00000121742/ENSG00000138795/ENSG00000136574/ENSG00000107984/ENSG00000171476/ENSG00000102678/ENSG00000183072/ENSG00000183691/ENSG00000159251/ENSG00000180053/ENSG00000102683/ENSG00000060718/ENSG00000134853/ENSG00000132510/ENSG00000110693/ENSG00000117707/ENSG00000125378/ENSG00000160808/ENSG00000157168/ENSG00000183023/ENSG00000151320/ENSG00000142178/ENSG00000064655/ENSG00000140416/ENSG00000125266/ENSG00000125845/ENSG00000173706/ENSG00000081189/ENSG00000113721/ENSG00000175206/ENSG00000100628/ENSG00000114854/ENSG00000081479/ENSG00000114861/ENSG00000163132/ENSG00000122691/ENSG00000185386/ENSG00000166949/ENSG00000104313/ENSG00000101665/ENSG00000115641/ENSG00000164683/ENSG00000160789/ENSG00000150093/ENSG00000149256/ENSG00000178568/ENSG00000135766/ENSG00000163110/ENSG00000106799/ENSG00000114251/ENSG00000101144/ENSG00000134250/ENSG00000105329/ENSG00000096696/ENSG00000169946/ENSG00000163513/ENSG00000078114/ENSG00000178209/ENSG00000104881/ENSG00000131759/ENSG00000148814/ENSG00000170776/ENSG00000144560/ENSG00000164442/ENSG00000179588/ENSG00000070831/ENSG00000112276/ENSG00000090020/ENSG00000057294/ENSG00000109083/ENSG00000108946/ENSG00000068305/ENSG00000139174",101,20.7897304765888,"Up",0.0368478657424298
