"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04020","hsa04020","Calcium signaling pathway","132/2744","253/8586",1.12857493850657e-11,3.80329754276714e-09,2.86301642294825e-09,"255231/1131/845/4803/4914/553/3707/5567/493/3362/777/6869/109/7852/6546/2066/7134/4638/4485/3269/4486/5021/776/491/6870/5530/5156/56034/2247/952/3791/1950/817/108/2668/2246/147/1812/5159/8817/2264/3274/2149/815/2324/10345/5350/2911/107/5137/4233/1129/80228/1956/2925/8823/778/292/3358/148/2185/114/5533/26281/2260/9630/2902/774/4915/6588/80310/5331/7423/1128/5024/9965/2249/6786/3363/10105/2253/5979/57118/51196/153/5153/5027/8074/22953/4842/775/2321/57105/2254/1910/624/6547/5330/6263/3706/4916/93129/487/113/5579/5023/489/5578/8877/113026/2064/4843/5026/8913/2774/4773/7125/4923/5332/2769/2767/26291/56848/6915/5582/6261/27006/6543/80271/3270/8911/5155",132
"hsa04510","hsa04510","Focal adhesion","109/2744","203/8586",7.67544803892177e-11,1.29331299455832e-08,9.73569988094815e-09,"3915/3918/3914/7059/3725/10000/63923/8503/5906/824/998/3694/2335/3676/3685/9475/3680/5062/3913/5290/3693/2317/4638/5156/56034/3791/6696/1950/3672/3673/7060/5159/5295/2324/3908/1297/3696/858/22798/3912/58498/857/4233/2318/5649/1278/1956/1287/2316/5063/1288/7410/7094/10319/3371/330/80310/5058/55742/572/7423/3611/329/595/8516/3688/3678/894/1280/2012/5501/5829/3479/2321/1284/1282/6655/207/87/394/7057/22801/3480/5923/83660/2013/5579/3675/5578/7448/3691/2064/71/1277/3674/5881/3690/10627/103910/3911/10398/1299/7409/5582/25759/5155/64098/29780/5880",109
"hsa05205","hsa05205","Proteoglycans in cancer","108/2744","205/8586",4.16231374693202e-10,4.6756657757203e-08,3.51971092284427e-08,"6548/7042/7482/10000/3339/54361/5567/8503/7483/998/7475/80326/2335/8324/3685/9475/2817/2066/7476/22808/7474/5290/3693/2317/3059/2247/7097/10855/3791/817/3673/7478/5295/815/1839/2099/1026/7291/858/51384/8321/857/4233/2318/8326/1278/1956/2316/2719/6383/8323/2260/7410/7099/8322/23365/5058/5962/2017/7481/960/595/3481/7479/5328/3688/8325/51196/27250/355/79923/3678/4060/1634/7480/1975/5501/4193/5829/81029/3479/6655/207/3091/7057/3480/388112/4313/7023/5579/5578/2535/7448/2064/71/1277/3690/7484/6385/4318/7409/5329/6237/7040/5582/7477/7078/5600",108
"hsa04010","hsa04010","MAPK signaling pathway","144/2744","301/8586",3.82101627914456e-09,3.21920621517929e-07,2.42332874545747e-07,"1969/1435/11221/7042/84451/1942/9048/9261/3725/4803/10000/4914/5567/5906/1647/55970/998/777/5495/1844/3554/10746/3552/9448/785/2066/7048/22808/2122/3556/5062/9254/2317/776/5530/5156/56034/2247/3791/3815/374/1950/4790/2668/2246/1436/5159/4208/8817/1946/2264/1843/2324/6196/1616/3315/4233/2318/1956/8823/1852/778/2316/6197/5533/285/26281/2260/1846/7010/774/4915/7186/7046/627/80310/8986/10235/5058/9479/7423/84867/9965/2249/7189/5970/3481/1326/2253/5979/355/4791/4908/5801/1848/4254/8074/3164/784/51135/775/3479/2321/2254/2353/7043/6655/207/3480/5923/10125/8717/5579/23162/27091/5608/5578/27092/409/2064/9020/5881/8913/1845/994/115727/26291/3727/6237/4616/7040/11184/5582/59284/59285/4902/27006/51295/4909/8911/5155/5600/23542/5880",144
"hsa04512","hsa04512","ECM-receptor interaction","55/2744","89/8586",5.90778283422009e-09,3.98184563026434e-07,2.99742244852009e-07,"3915/3918/3914/7059/375790/9900/3339/63923/3694/2335/3676/3685/3680/3913/3693/961/255743/80144/6696/3672/3673/7060/3161/22987/3908/1297/3696/948/22798/3912/5649/1278/1287/1288/10319/3371/960/8516/3688/3678/1280/1284/1282/7057/22801/9899/3675/7448/3691/1277/3674/3690/3911/6385/1299",55
"hsa05414","hsa05414","Dilated cardiomyopathy","58/2744","96/8586",7.66569962534784e-09,4.23789812025943e-07,3.19017162886935e-07,"7042/4000/5567/3694/109/3676/1674/3685/6546/785/3680/4634/9254/7134/3693/111/776/108/3672/3673/5350/3908/3696/107/778/1756/114/7169/8516/3688/153/3678/784/112/775/3479/6445/7043/6547/70/22801/7168/487/113/489/3675/27091/27092/3691/71/3674/3690/7137/7040/59284/59285/6543/7171",58
"hsa04360","hsa04360","Axon guidance","95/2744","182/8586",8.80275573941127e-09,4.23789812025943e-07,3.19017162886935e-07,"1969/5362/1942/2046/2048/22854/54361/64218/8503/998/56896/151449/659/7852/9475/10505/2043/2042/54437/2049/7474/5062/7869/5290/56920/91653/285220/6092/9353/5530/8633/658/817/9037/6586/57556/22885/1946/90249/5295/815/2045/10371/10512/4233/2041/223117/91584/1947/55558/5365/3897/5063/7224/5533/10507/84628/5998/57689/23365/5058/3611/64221/8829/3688/6387/3983/10154/59277/54434/27289/81029/57522/7223/1948/1073/2242/10509/56963/50855/5578/85464/9423/5881/1630/10627/103910/655/4773/10398/6237/10501/3985/23654/5880",95
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","78/2744","143/8586",1.54328287231256e-08,6.50107909961665e-07,4.89383121351745e-07,"7482/10000/10637/7044/54361/8503/3716/7483/4211/7475/80326/55183/8324/130399/659/7476/8820/6498/6657/93/7474/5290/1857/2247/658/3670/9421/2264/7478/5295/3572/3720/3400/5460/1749/51384/8321/3624/3198/8326/7547/1852/80712/8323/5462/2260/9314/3717/8322/7481/5080/84333/7479/8325/4838/648/79923/6926/3626/7480/64211/81029/3479/4093/652/207/3480/388112/4088/3175/463/2535/7484/10297/3718/3976/7477/5600",78
"hsa04151","hsa04151","PI3K-Akt signaling pathway","164/2744","359/8586",2.01158868778454e-08,7.53228208648211e-07,5.67009209071432e-07,"1969/23566/1435/3915/3918/2786/3914/1942/7059/148327/9048/4803/10000/4914/63923/8503/55970/3570/3716/3694/2335/10018/3676/3667/3685/2066/3680/3913/5290/3693/5522/5156/56034/2247/7097/3791/6696/3815/374/1950/4790/2690/3672/3673/2668/3575/7060/2246/1436/5159/8817/253314/1946/2264/2149/5295/2324/3326/2309/6446/3908/4602/1026/1297/3696/9586/22798/2792/1021/9863/3912/4233/2056/1129/5649/64764/1278/1956/8823/1287/2846/1288/9134/285/26281/2260/6850/10488/3717/7010/10319/29941/1902/4915/7099/3371/627/80310/5526/90993/572/7423/2785/1128/595/9965/2249/5970/3481/8516/3688/2253/5979/4908/3678/4254/8074/894/1280/1975/3164/4193/3479/2321/1284/1282/2254/9623/6655/207/54331/7057/22801/3480/930/5934/2793/3675/5578/7448/146850/3691/2064/1277/3674/23533/3690/2689/672/23239/3911/1299/10110/2788/898/26291/4902/84699/27006/4909/3718/5155/3560/3454",164
"hsa05032","hsa05032","Morphine addiction","54/2744","91/8586",6.00122342259892e-08,2.02241229341584e-06,1.52241562615404e-06,"3765/2786/2563/5567/134/5142/55970/109/50940/111/2868/108/2554/1812/2568/2566/2561/5144/8622/2569/2570/27115/10846/107/5137/2792/2556/55879/114/9568/774/5138/3762/2785/2869/5153/112/54331/2558/2562/2567/5151/2775/113/5579/2793/5578/409/140679/2788/5141/5582/157/3763",54
