Geneid,SK7A-1,SK7A-2,SK7A-3,SK8A-1,SK8A-2,SK8A-3,SK8A-4,SK8A-5,SK8A-6,Wi-1,Wi-2,Wi-3
ENSG00000000003,8068,8817,10413,8092,7925,8413,1650,1713,294,1209,1427,1505
ENSG00000000005,38,9,1,2,6,2,0,0,0,2,1,8
ENSG00000000419,3144,5016,5150,3322,3592,3635,840,750,156,598,774,968
ENSG00000000457,1243,1280,1229,852,752,761,142,154,21,177,176,207
ENSG00000000460,1137,1241,1171,1089,706,721,127,109,23,128,159,182
ENSG00000000938,0,0,0,2,0,1,0,0,0,0,2,0
ENSG00000000971,22,23,5,6,8,7,2,2,0,1,0,0
ENSG00000001036,5803,5477,7533,5920,4887,4796,1261,1051,239,527,818,1156
ENSG00000001084,2454,2758,3397,2838,2436,2292,502,402,82,354,401,458
ENSG00000001167,4944,4967,6222,3184,3918,3437,727,633,140,631,589,641
ENSG00000001460,460,544,709,549,640,471,123,96,8,89,100,74
ENSG00000001461,2860,4567,5820,3895,5246,4325,1081,779,177,541,525,383
ENSG00000001497,3401,5320,4610,3939,3180,2793,809,652,147,434,344,809
ENSG00000001561,1398,2362,2473,1355,1647,1767,202,231,38,71,65,147
ENSG00000001617,4574,6983,7340,1347,3719,4866,1080,1461,202,1276,2525,1444
ENSG00000001626,143,384,336,645,205,271,32,50,8,62,415,49
ENSG00000001629,5845,8583,9573,6903,6975,6579,1104,976,229,755,717,815
ENSG00000001630,485,598,761,469,498,465,147,134,21,110,55,92
ENSG00000001631,715,944,765,613,508,459,99,79,18,66,86,101
ENSG00000002016,840,979,924,604,671,540,125,66,16,95,117,124
ENSG00000002079,20,23,12,9,12,19,4,0,2,0,1,2
ENSG00000002330,1761,1724,2489,1307,1632,1668,581,539,121,322,625,565
ENSG00000002549,2754,3838,5149,3634,3399,3014,910,774,184,508,491,665
ENSG00000002586,6839,9171,10699,17028,12984,11578,3768,3357,648,2763,4558,2961
ENSG00000002587,20,31,20,21,10,34,4,6,0,0,28,2
ENSG00000002726,2,0,2,2,0,0,2,0,0,0,2,0
ENSG00000002745,92,21,29,4,10,20,4,2,0,41,28,251
ENSG00000002746,67,693,1103,1133,1480,561,353,137,46,38,6,16
ENSG00000002822,19,15,12,10,10,5,1,2,0,2,0,2
ENSG00000002834,21475,27178,33982,29973,25697,22394,6710,5470,1064,7363,6479,5911
ENSG00000002919,1249,1834,2195,1337,1509,1472,437,399,79,264,262,308
ENSG00000002933,14,6,12,6,2,2,2,0,0,10,4,12
ENSG00000003056,6350,10977,12518,8350,8661,7973,2166,1721,351,1108,904,1332
ENSG00000003096,1520,867,504,546,487,724,87,146,19,131,205,381
ENSG00000003137,1763,387,168,234,88,99,39,23,3,276,185,314
ENSG00000003147,242,236,291,149,85,127,40,24,4,178,306,108
ENSG00000003249,467,514,662,365,302,196,94,69,12,218,455,276
ENSG00000003393,8657,16805,15284,12511,10994,11670,2039,2069,430,714,478,1032
ENSG00000003400,6,23,10,47,4,16,2,0,0,0,2,2
ENSG00000003402,614,1549,1978,1718,2046,1453,398,254,75,490,221,203
ENSG00000003436,1914,2558,2589,5761,3091,2432,393,274,50,173,291,313
ENSG00000003509,1790,2320,2048,1391,1500,1329,250,158,66,219,258,302
ENSG00000003756,11167,14628,11750,7911,8414,6936,1481,1367,284,1572,2098,2289
ENSG00000003987,814,1018,1019,757,760,773,82,85,20,90,141,147
ENSG00000003989,1791,1442,1852,1815,790,1092,108,147,27,122,60,232
ENSG00000004059,4052,4409,5659,4106,4143,4476,1278,1161,178,1432,2674,1848
ENSG00000004139,4364,5557,6329,3826,4343,3987,988,839,179,431,619,762
ENSG00000004142,5857,6715,9459,6626,6473,6316,1714,1536,336,1203,1348,1381
ENSG00000004399,16753,31484,35795,29532,28636,28172,8108,7241,1610,1706,1227,2927
ENSG00000004455,4367,6171,7098,4081,4922,4870,1149,1088,142,832,919,973
