Geneid,SK7A-SGN-1,SK7A-SGN-2,SK7A-SGN-3,SK7AC48-SGN-1,SK7AC48-SGN-2,SK7AC48-SGN-3,SK8A-SGN-1,SK8A-SGN-2,SK8A-SGN-3
ENSG00000160072,1909,1378,1330,1991,1360,1269,1398,1144,1457
ENSG00000279928,0,7,2,6,1,0,0,0,0
ENSG00000228037,0,0,0,0,0,0,0,0,0
ENSG00000142611,187,1553,1236,1065,725,1084,448,611,1222
ENSG00000284616,0,0,2,0,0,0,0,0,0
ENSG00000157911,1828,2325,1903,2284,1714,1967,2643,2091,2231
ENSG00000269896,160,183,103,184,145,101,109,59,136
ENSG00000228463,20,70,28,54,30,22,32,38,49
ENSG00000260972,0,0,0,0,0,0,0,0,0
ENSG00000224340,0,0,0,0,0,0,0,0,0
ENSG00000226374,0,0,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0,0,0,0
ENSG00000142655,1489,1736,1157,1328,992,1237,1352,1318,1304
ENSG00000232596,0,0,0,0,0,0,0,0,0
ENSG00000235054,0,0,2,0,0,0,0,0,0
ENSG00000231510,2,0,0,2,0,0,0,0,0
ENSG00000149527,13,52,32,27,39,37,66,104,62
ENSG00000284739,0,2,0,0,0,0,0,0,0
ENSG00000171621,707,545,2459,735,745,558,396,476,537
ENSG00000272235,0,18,26,16,13,0,5,14,24
ENSG00000284694,0,0,0,0,0,0,0,0,0
ENSG00000224387,0,0,0,1,1,0,0,0,0
ENSG00000285629,0,6,0,0,0,0,0,0,0
ENSG00000173673,174,13,8,0,0,6,4,2,8
ENSG00000142583,31,41,12,32,24,48,36,110,76
ENSG00000284674,0,0,0,0,0,0,2,1,0
ENSG00000224338,0,0,0,0,0,0,0,0,0
ENSG00000116786,3157,3722,3445,3414,2898,3169,3386,3821,3684
ENSG00000287727,0,2,3,4,1,2,0,4,4
ENSG00000286448,0,9,17,12,3,1,0,12,13
ENSG00000284703,0,0,0,0,0,0,0,0,0
ENSG00000226457,0,0,0,0,0,1,0,0,0
ENSG00000173614,267,279,207,219,287,231,178,239,269
ENSG00000215720,0,0,0,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,0,0,0
ENSG00000162592,157,238,142,140,168,170,128,147,159
ENSG00000116254,246,7100,1576,3546,2638,2987,4721,8211,9562
ENSG00000204624,417,1317,287,451,646,889,1712,1640,1776
ENSG00000142606,7,18,15,5,11,9,18,9,19
ENSG00000225931,0,0,0,0,0,0,0,0,0
ENSG00000171729,874,279,188,352,339,262,255,265,204
ENSG00000279457,336,414,243,503,331,339,655,418,593
ENSG00000162571,4,23,2,14,10,8,4,3,21
ENSG00000229393,0,0,0,1,0,0,0,0,2
ENSG00000037637,1347,2009,1458,1313,1267,1202,1227,1900,1879
ENSG00000287586,0,0,0,0,0,4,0,0,0
ENSG00000159423,1581,2068,869,2433,1718,2519,1514,1566,2222
ENSG00000227169,0,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0,0
ENSG00000011021,1256,3787,1127,1745,1795,2269,2034,3337,3270
ENSG00000142615,4,0,0,0,6,5,6,1,10
ENSG00000215704,17,10,6,21,15,26,22,8,13
ENSG00000157916,4460,4303,4264,4395,3736,3524,3747,3636,3906
ENSG00000157881,26,45,13,55,75,37,220,28,35
ENSG00000238290,0,2,0,5,2,5,0,0,3
ENSG00000225387,11,18,2,12,14,8,0,4,6
ENSG00000048707,1522,2502,2196,1498,1888,1246,770,1438,1990
ENSG00000225196,0,0,0,0,0,0,0,0,0
ENSG00000162444,24,0,0,2,6,0,7,0,6
ENSG00000279625,0,0,0,0,0,0,0,0,0
ENSG00000180758,186,88,134,128,185,107,62,57,112
ENSG00000184677,1077,1472,754,1251,1168,969,598,836,1136
ENSG00000288398,177,379,186,268,191,269,271,535,442
ENSG00000224621,0,2,0,1,0,0,0,1,0
ENSG00000285833,47,247,45,41,102,104,162,173,271
ENSG00000131697,783,1222,733,1008,846,878,974,937,1270
ENSG00000284692,0,0,0,0,0,0,2,0,0
ENSG00000284745,0,0,0,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0,0,2,6
ENSG00000285945,0,0,0,2,0,3,0,0,0
ENSG00000197921,28,0,0,0,4,6,2,0,0
ENSG00000233755,1,0,0,11,10,4,6,4,3
ENSG00000233929,4,6,1,2,1,3,8,8,1
ENSG00000271742,0,0,0,0,0,0,4,0,0
ENSG00000234166,33,5,22,19,10,14,13,2,7
ENSG00000235282,0,0,0,0,0,0,0,0,0
ENSG00000055070,5641,4545,5006,3984,3855,3559,2867,2818,3219
ENSG00000175087,261,772,220,377,286,331,263,984,1145
ENSG00000157191,1974,1114,1493,1072,1235,893,673,657,808
ENSG00000230035,0,0,0,0,0,0,0,0,0
ENSG00000225643,0,0,6,6,4,4,5,0,4
ENSG00000284666,0,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0,0
ENSG00000234397,0,0,0,0,0,0,3,0,0
ENSG00000284309,2,0,0,2,1,0,0,0,0
ENSG00000162511,91,73,10,22,14,21,79,75,41
ENSG00000158014,394,169,32,119,56,180,68,36,64
ENSG00000204138,1476,1716,1097,1095,1220,965,721,976,1431
ENSG00000233419,0,0,0,0,0,0,0,0,0
ENSG00000235263,0,0,2,0,0,0,0,0,0
ENSG00000228176,0,0,0,0,0,0,0,0,0
ENSG00000231251,0,0,0,0,0,0,0,0,0
ENSG00000142675,309,195,46,138,80,119,143,157,199
ENSG00000197245,78,82,130,209,126,118,62,62,38
ENSG00000116237,4153,3211,3535,3047,3233,2490,2050,2077,2552
ENSG00000130772,2,2,0,0,4,2,0,0,2
ENSG00000215899,9,2,3,4,0,6,2,0,0
ENSG00000271398,0,0,0,0,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0,0
ENSG00000235069,0,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,0,0,0,0,0,0
ENSG00000237058,0,0,0,0,0,0,0,0,0
ENSG00000233399,0,0,0,8,3,0,0,0,0
ENSG00000090020,2196,1717,2394,1737,1578,1423,1258,1335,1595
ENSG00000157978,939,604,995,991,802,569,458,227,468
ENSG00000226944,2,18,7,10,16,4,24,17,18
ENSG00000130770,0,0,0,0,0,0,0,0,0
ENSG00000229044,498,531,308,365,326,378,315,453,468
ENSG00000162512,6516,21705,10956,11121,12440,12380,18750,24275,24769
ENSG00000158006,616,304,347,323,325,180,177,146,241
ENSG00000214812,0,0,0,0,0,0,0,0,0
ENSG00000126698,2406,1886,1498,1740,1257,1477,1716,2168,2338
ENSG00000229447,5,12,0,4,7,6,1,3,16
ENSG00000229607,0,0,0,0,0,0,0,0,0
ENSG00000130766,0,0,0,0,0,0,0,0,0
ENSG00000168528,2041,2310,2617,2766,2528,2167,2372,1291,1432
ENSG00000196581,175,1738,136,739,446,618,270,633,975
ENSG00000169403,68,2,8,6,10,10,0,20,14
ENSG00000084628,795,3335,935,1048,1172,2131,3278,4114,3494
ENSG00000060688,1924,1082,948,686,603,901,774,802,798
ENSG00000171612,528,555,401,366,275,365,393,823,541
ENSG00000270927,0,0,0,0,0,0,0,0,0
ENSG00000188910,0,0,0,0,0,0,4,3,0
ENSG00000230523,0,0,0,2,8,4,0,0,0
ENSG00000116138,745,594,701,369,551,438,242,552,639
ENSG00000158161,1147,882,714,654,725,755,416,563,732
ENSG00000142684,926,582,583,621,652,504,937,458,408
ENSG00000121769,542,951,1129,649,751,1641,998,840,517
ENSG00000142627,2029,1138,2085,2503,2630,1043,1103,536,593
ENSG00000284668,0,0,0,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0,0,0,0
ENSG00000142632,601,126,375,231,251,108,170,72,103
ENSG00000234593,0,0,0,4,2,0,2,4,2
ENSG00000158292,1406,4089,1932,2400,2430,3207,4002,4366,4698
ENSG00000270605,2,0,0,0,2,0,0,0,0
ENSG00000189337,1170,3768,1810,4281,2640,2359,2206,2588,3726
ENSG00000235084,8,3,5,5,2,6,6,1,3
ENSG00000235143,0,4,1,0,0,0,0,2,1
ENSG00000225478,0,0,0,0,0,0,0,0,0
ENSG00000225077,173,135,136,86,122,101,51,70,95
ENSG00000028137,141,0,0,8,45,3,4,1,0
ENSG00000204464,0,0,0,0,0,0,0,0,0
ENSG00000233372,0,0,0,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0,0,0,0
ENSG00000284543,4,1,0,0,0,0,1,0,0
ENSG00000130939,2594,2110,1682,1350,1554,1509,943,1607,1620
ENSG00000175147,469,914,212,973,659,571,866,886,1084
ENSG00000127472,4,6,0,12,14,1,10,4,17
ENSG00000060656,3308,7100,6877,5841,5366,5028,4543,4725,5321
ENSG00000163867,171,178,167,130,189,109,106,245,173
ENSG00000232768,1,0,0,0,0,0,0,0,0
ENSG00000230214,0,0,0,0,0,0,0,0,0
ENSG00000189280,23,2,6,0,0,0,3,14,0
ENSG00000134698,810,1635,637,890,813,781,684,1627,2485
ENSG00000134690,1234,204,313,175,242,223,122,55,91
ENSG00000272420,2,4,8,7,2,0,14,0,5
ENSG00000132881,193,296,134,183,207,228,223,301,275
ENSG00000273274,52,274,38,102,123,135,137,359,407
ENSG00000116251,2890,3226,3099,2491,2426,2132,1928,2522,2588
ENSG00000272510,42,32,29,20,34,20,7,11,22
ENSG00000158286,405,342,307,404,491,366,307,223,278
ENSG00000236648,0,0,0,0,0,0,0,2,0
ENSG00000232273,0,0,3,0,0,0,0,0,0
ENSG00000009709,70,94,4,50,4,116,43,29,66
ENSG00000287396,0,0,0,0,0,0,0,0,0
ENSG00000223589,0,0,0,0,0,0,0,0,0
ENSG00000158008,193,335,121,330,319,279,273,195,262
ENSG00000130940,430,1347,545,666,992,1500,691,585,918
ENSG00000116771,66,11,29,19,7,19,5,8,21
ENSG00000237301,7,10,5,2,0,4,13,15,13
ENSG00000163879,310,1234,342,1276,552,1012,431,524,851
ENSG00000227527,7,5,7,7,6,2,7,0,4
ENSG00000116954,549,507,649,414,461,401,504,715,363
ENSG00000228589,173,500,122,68,60,227,117,158,134
ENSG00000163873,846,1515,268,744,1582,1138,1986,1171,2799
ENSG00000117215,0,0,0,0,0,0,0,0,0
ENSG00000196449,937,454,393,390,287,351,411,420,363
ENSG00000230163,40,57,48,56,38,34,38,68,78
ENSG00000227538,0,0,0,0,0,0,0,0,0
ENSG00000236500,0,1,0,0,0,0,0,0,0
ENSG00000044012,4,0,0,0,0,0,0,0,0
ENSG00000179051,123,27,47,43,34,22,17,39,242
ENSG00000215895,7,3,3,3,7,0,0,0,4
ENSG00000284650,0,0,0,2,0,0,0,2,0
ENSG00000237329,0,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0,0,2
ENSG00000126067,4712,3776,2994,2915,2502,3042,2941,3264,2902
ENSG00000274944,0,0,0,0,0,0,0,0,1
ENSG00000132906,1005,775,543,793,583,620,600,733,688
ENSG00000197312,1499,945,902,497,602,590,220,536,691
ENSG00000284748,0,12,0,7,4,0,4,0,2
ENSG00000272078,236,592,254,275,467,638,405,291,510
ENSG00000173660,6376,3708,2775,3347,2630,3140,3189,3965,3257
ENSG00000224592,25,3,1,2,13,5,30,42,37
ENSG00000233728,346,1453,313,574,529,1045,1339,2029,1456
ENSG00000230451,0,0,0,0,0,0,0,0,0
ENSG00000231606,0,0,0,2,0,0,0,0,0
ENSG00000215900,0,0,0,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0,2,0,0
ENSG00000241014,8,9,9,4,6,3,10,5,10
ENSG00000054118,5376,4241,3708,3077,3025,2460,1883,3073,3531
ENSG00000254553,0,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,1,0,2,0,0
ENSG00000237749,4,0,1,0,0,0,0,0,0
ENSG00000276747,0,0,0,0,0,0,0,0,0
ENSG00000284705,10,0,2,4,5,6,16,22,4
ENSG00000228776,0,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,0,0,0,0,0,0,0
ENSG00000197982,1395,1765,2073,1815,1279,1247,2119,2147,1784
ENSG00000261781,0,0,0,0,0,0,0,0,0
ENSG00000183317,131,1099,174,548,510,611,884,1068,1571
ENSG00000183386,852,641,1167,743,546,601,412,538,476
ENSG00000284743,0,0,0,0,0,0,0,0,0
ENSG00000158315,1,18,8,12,6,28,24,13,11
ENSG00000204084,740,552,593,389,401,328,249,320,421
ENSG00000186973,32,164,35,210,16,172,42,16,61
ENSG00000146463,2852,3066,1848,1995,2336,1737,1016,2637,3024
