"Geneid","SK7A-1","SK7A-2","SK7A-3","SK8A-1","SK8A-2","SK8A-3","Wi-1","Wi-2","Wi-3"
"ENSG00000160072",1953,2081,958,1242,978,1763,1369,1314,1201
"ENSG00000279928",0,0,2,1,0,0,2,0,0
"ENSG00000228037",0,0,0,0,0,0,0,0,0
"ENSG00000142611",6,2,17,17,4,14,16,13,32
"ENSG00000284616",0,0,0,0,0,0,0,0,0
"ENSG00000157911",759,1010,740,705,667,828,1108,638,686
"ENSG00000269896",30,25,17,20,25,28,14,38,23
"ENSG00000228463",6,5,7,0,0,0,2,2,2
"ENSG00000260972",0,0,0,0,0,0,0,0,0
"ENSG00000224340",0,0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0
"ENSG00000142655",962,759,802,694,702,796,1045,583,723
"ENSG00000232596",0,2,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0
"ENSG00000231510",1,6,1,1,0,1,4,2,0
"ENSG00000149527",2,0,0,2,0,0,0,0,8
"ENSG00000284739",0,0,0,0,0,0,0,0,0
"ENSG00000171621",75,62,93,60,59,146,128,72,147
"ENSG00000272235",0,0,0,0,0,0,0,0,0
"ENSG00000284694",0,0,0,0,0,0,0,0,0
"ENSG00000224387",0,0,0,0,0,0,0,0,0
"ENSG00000285629",0,0,0,0,0,0,0,0,0
"ENSG00000173673",678,549,1038,815,917,1259,616,409,858
"ENSG00000142583",0,2,10,2,4,2,4,4,2
"ENSG00000284674",0,0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,0,0,0
"ENSG00000116786",1699,1194,1293,1210,1347,1483,1792,1401,1247
"ENSG00000287727",0,0,4,0,0,4,0,2,0
"ENSG00000286448",0,0,3,0,0,0,2,0,0
"ENSG00000284703",0,0,0,0,0,0,0,0,0
"ENSG00000226457",0,0,1,2,0,0,0,0,0
"ENSG00000173614",42,54,78,33,67,51,78,61,32
"ENSG00000215720",0,0,4,2,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0,0
"ENSG00000233623",0,0,2,2,0,0,0,0,0
"ENSG00000162592",96,39,108,17,63,82,102,77,77
"ENSG00000116254",75,28,254,46,136,152,50,163,90
"ENSG00000204624",234,222,204,125,128,202,133,90,66
"ENSG00000142606",9,2,7,7,5,6,16,12,9
"ENSG00000225931",0,0,0,0,0,0,0,0,0
"ENSG00000171729",245,228,252,231,180,209,273,162,249
"ENSG00000279457",135,170,148,116,128,163,78,153,158
"ENSG00000162571",27,24,5,10,8,14,10,4,10
"ENSG00000229393",0,2,0,0,0,0,0,0,0
"ENSG00000037637",535,467,411,313,386,479,586,402,359
"ENSG00000287586",0,0,0,0,0,0,0,0,0
"ENSG00000159423",1348,1098,1267,713,1068,1368,1218,730,786
"ENSG00000227169",0,0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0,0
"ENSG00000011021",674,608,502,444,434,702,521,334,487
"ENSG00000142615",0,0,0,0,0,0,0,2,0
"ENSG00000215704",3,3,15,4,0,3,14,1,3
"ENSG00000157916",1661,1717,1277,1217,1171,1671,1618,1395,1211
"ENSG00000157881",153,103,15,33,54,55,103,30,32
"ENSG00000238290",0,0,0,0,4,4,0,2,0
"ENSG00000225387",0,2,0,4,4,0,0,1,2
"ENSG00000048707",1060,480,647,466,637,994,844,563,657
"ENSG00000225196",0,0,0,0,0,0,0,0,0
"ENSG00000162444",36,47,61,43,80,66,57,46,54
"ENSG00000279625",0,0,0,0,0,0,0,1,0
"ENSG00000180758",85,46,84,65,52,92,81,67,58
"ENSG00000184677",628,432,305,287,305,703,371,251,306
"ENSG00000288398",31,40,70,50,60,82,34,34,40
"ENSG00000224621",0,0,0,0,2,0,0,0,0
"ENSG00000285833",56,9,31,5,19,39,14,9,26
"ENSG00000131697",527,394,384,304,470,525,299,396,336
"ENSG00000284692",0,0,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,0,0
"ENSG00000280222",3,4,0,4,4,5,0,0,0
"ENSG00000285945",0,0,0,0,0,0,0,0,0
"ENSG00000197921",0,0,0,0,0,0,0,0,0
"ENSG00000233755",0,0,0,0,0,0,0,0,0
"ENSG00000233929",1,4,2,4,8,5,1,3,4
"ENSG00000271742",0,0,0,0,0,0,0,0,0
"ENSG00000234166",166,195,119,169,81,161,148,87,112
"ENSG00000235282",0,0,0,0,0,0,0,0,0
"ENSG00000055070",3309,2523,1509,1902,1533,2373,3717,1315,1797
"ENSG00000175087",100,62,47,98,49,82,82,47,47
"ENSG00000157191",601,695,489,409,406,559,823,320,515
"ENSG00000230035",0,0,0,0,0,0,0,0,0
"ENSG00000225643",1,1,0,3,2,0,0,0,0
"ENSG00000284666",0,0,0,0,0,0,0,0,0
"ENSG00000228943",0,0,0,0,0,0,0,0,0
"ENSG00000234397",0,0,0,0,0,0,0,0,0
"ENSG00000284309",0,0,0,0,0,0,0,0,0
"ENSG00000162511",4,3,14,2,4,4,2,14,2
"ENSG00000158014",0,0,8,6,80,14,4,66,6
"ENSG00000204138",1188,757,810,778,743,1031,1086,690,629
"ENSG00000233419",0,0,0,0,0,0,0,0,0
"ENSG00000235263",0,0,0,0,0,0,0,0,0
"ENSG00000228176",0,0,0,0,0,0,0,0,0
"ENSG00000231251",0,0,0,0,0,0,0,0,0
"ENSG00000142675",241,231,316,258,276,245,193,297,224
"ENSG00000197245",29,29,10,24,18,8,28,8,26
"ENSG00000116237",4885,4152,3595,3321,3099,4379,5747,2688,2889
"ENSG00000130772",0,2,4,4,2,4,0,0,1
"ENSG00000215899",2,0,0,0,0,0,0,0,0
"ENSG00000271398",0,0,0,0,0,0,0,0,0
"ENSG00000225011",0,0,0,0,0,0,0,0,0
"ENSG00000235069",0,0,0,0,0,0,0,0,0
"ENSG00000284676",0,0,0,0,0,0,0,0,0
"ENSG00000237058",0,0,0,0,0,0,0,2,0
"ENSG00000233399",0,0,0,0,0,0,0,1,0
"ENSG00000090020",873,683,714,570,704,707,782,687,533
"ENSG00000157978",503,387,348,250,290,419,486,250,246
"ENSG00000226944",3,4,5,6,12,6,3,5,13
"ENSG00000130770",0,0,0,0,0,0,0,0,0
"ENSG00000229044",356,293,227,238,208,292,437,198,196
"ENSG00000162512",1261,806,1423,757,1024,1133,1637,979,1130
"ENSG00000158006",262,175,216,187,172,192,316,163,183
"ENSG00000214812",0,0,0,0,0,0,0,0,0
"ENSG00000126698",2176,2405,1318,1948,1067,2203,2601,1034,1480
"ENSG00000229447",0,1,7,2,2,3,2,6,2
"ENSG00000229607",0,0,3,0,2,0,0,2,0
"ENSG00000130766",0,0,0,0,0,0,0,0,0
"ENSG00000168528",720,822,565,761,545,721,946,615,628
"ENSG00000196581",227,130,74,27,23,54,268,114,79
"ENSG00000169403",49,31,46,22,21,39,87,26,30
"ENSG00000084628",2171,1773,1137,708,964,1282,2078,627,787
"ENSG00000060688",1941,2014,1263,1069,961,1575,2272,999,1111
"ENSG00000171612",718,749,523,425,568,559,885,553,399
"ENSG00000270927",0,0,0,0,0,0,0,0,0
"ENSG00000188910",22,28,8,18,10,19,10,16,18
"ENSG00000230523",0,0,0,0,0,2,2,0,0
"ENSG00000116138",319,234,396,242,293,361,347,316,184
"ENSG00000158161",554,454,390,334,338,583,652,316,230
"ENSG00000142684",362,579,284,387,319,409,409,393,292
"ENSG00000121769",424,430,193,300,169,470,296,102,214
"ENSG00000142627",999,755,794,610,992,817,976,1779,574
"ENSG00000284668",0,0,2,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0
"ENSG00000142632",1350,1245,1318,1097,1093,1526,1298,749,1197
"ENSG00000234593",0,0,0,0,0,0,0,0,0
"ENSG00000158292",460,338,524,281,330,437,444,270,414
"ENSG00000270605",0,0,0,0,0,0,0,0,0
"ENSG00000189337",291,197,215,169,206,290,329,243,198
"ENSG00000235084",0,3,0,1,0,1,2,5,1
"ENSG00000235143",0,0,0,0,0,0,0,0,0
"ENSG00000225478",0,1,0,0,0,0,0,0,0
"ENSG00000225077",299,178,237,180,234,299,343,238,239
"ENSG00000028137",75,30,61,38,56,68,66,43,45
"ENSG00000204464",0,0,0,0,0,0,0,0,0
"ENSG00000233372",0,0,0,0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0,0,0,0
"ENSG00000284543",1,0,2,0,2,0,0,2,2
"ENSG00000130939",3133,2008,2006,1573,1592,2505,3101,1322,1593
"ENSG00000175147",47,37,49,22,55,62,35,27,77
"ENSG00000127472",0,0,0,0,2,4,0,0,4
"ENSG00000060656",1303,901,1349,855,1183,1121,1712,1436,1126
"ENSG00000163867",110,123,111,172,121,131,107,187,99
"ENSG00000232768",0,0,0,0,0,0,0,0,0
"ENSG00000230214",0,0,0,0,0,0,0,0,0
"ENSG00000189280",2,2,0,2,3,6,2,10,12
"ENSG00000134698",339,222,375,244,321,311,355,353,283
"ENSG00000134690",1281,1025,892,702,693,996,1309,939,810
"ENSG00000272420",0,8,2,6,0,0,0,2,2
"ENSG00000132881",62,30,76,39,83,78,64,83,31
"ENSG00000273274",82,110,117,123,82,120,67,50,106
"ENSG00000116251",3065,3266,2524,2514,1866,3009,3371,2092,2172
"ENSG00000272510",17,5,15,11,17,17,20,15,6
"ENSG00000158286",81,144,139,188,109,167,97,133,134
"ENSG00000236648",0,0,0,0,0,0,0,0,0
"ENSG00000232273",0,0,0,0,0,0,0,0,0
"ENSG00000009709",0,4,0,4,2,0,51,1,2
"ENSG00000287396",0,0,0,0,0,0,0,0,0
"ENSG00000223589",0,0,0,0,0,0,0,0,0
"ENSG00000158008",26,30,53,28,47,45,27,49,49
"ENSG00000130940",300,181,201,135,112,243,307,205,170
"ENSG00000116771",217,170,124,93,163,106,191,112,116
"ENSG00000237301",3,1,0,0,12,2,0,4,2
"ENSG00000163879",269,285,263,284,237,362,314,169,273
"ENSG00000227527",4,7,2,0,1,2,0,0,0
"ENSG00000116954",167,163,113,158,143,240,156,125,112
"ENSG00000228589",120,210,129,91,175,298,159,71,86
"ENSG00000163873",133,19,38,78,59,137,92,33,82
"ENSG00000117215",0,0,0,0,0,0,0,0,0
"ENSG00000196449",798,929,481,542,640,777,868,724,476
"ENSG00000230163",21,27,11,13,3,13,8,7,4
"ENSG00000227538",0,0,0,0,0,0,0,0,0
"ENSG00000236500",0,0,0,0,0,0,0,0,0
