"Geneid","Wi-1","Wi-2","Wi-3","Wi-4","SK8A-1","SK8A-2","SK8A-3","SK7A-1","SK7A-2","SK7A-3","SK7A-4","SK7A-5"
"ENSG00000223972",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232",100,80,75,123,82,71,78,73,110,67,56,83
"ENSG00000278267",0,0,0,2,4,2,1,4,2,2,1,1
"ENSG00000243485",2,0,5,1,1,1,0,1,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009",1,0,0,1,1,1,0,1,1,0,0,1
"ENSG00000239945",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750",7,2,3,2,2,6,0,2,4,8,5,2
"ENSG00000268903",54,78,36,70,82,53,39,55,115,41,41,82
"ENSG00000269981",34,28,19,50,42,25,17,33,56,25,25,33
"ENSG00000239906",0,1,0,1,0,1,0,1,3,1,0,1
"ENSG00000241860",9,1,11,6,2,7,5,3,5,12,5,10
"ENSG00000222623",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928",0,3,0,2,0,0,0,2,0,2,2,1
"ENSG00000279457",116,132,98,140,166,117,90,134,138,78,82,127
"ENSG00000273874",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463",5,7,5,5,1,3,0,0,2,3,6,4
"ENSG00000241670",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679",0,0,0,1,0,1,0,1,0,0,0,0
"ENSG00000236743",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094",40,50,28,73,13,15,10,42,38,43,37,40
"ENSG00000269732",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278566",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575",2,2,0,4,6,1,3,5,2,2,0,3
"ENSG00000278757",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230021",0,0,1,1,0,0,0,1,0,0,0,0
"ENSG00000235146",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972",2,7,2,2,8,1,0,7,12,1,1,3
"ENSG00000225630",71,125,10,97,233,32,15,112,193,18,52,152
"ENSG00000237973",335,563,84,326,703,141,60,684,595,68,233,581
"ENSG00000278791",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344",11,23,0,8,22,3,4,12,28,3,5,22
"ENSG00000240409",8,16,0,9,20,6,4,11,15,1,5,14
"ENSG00000248527",2152,4480,389,2526,6641,1005,432,4320,6259,425,1724,4594
"ENSG00000198744",5,15,5,9,24,6,3,17,17,2,5,23
"ENSG00000268663",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273547",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283574",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000229376",0,0,0,0,0,3,0,3,2,0,0,1
"ENSG00000228327",75,84,75,88,71,98,99,80,70,101,67,84
"ENSG00000223181",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491",7,21,4,17,16,16,13,21,25,7,10,14
"ENSG00000230092",3,5,1,3,2,0,2,2,0,2,4,0
"ENSG00000177757",0,0,1,1,0,0,0,0,0,0,3,0
